出埃及記
第一章
 	以色列人在埃及興盛
9	六天你可以勞碌，做你的任何工作，
10	但第七天是歸耶和華你神的安息日，你和你的兒女、男女奴僕、牲畜，以及你城裡的寄居者，都不可做任何工作。
11	因為耶和華用六日造天、地、海和其中的萬物，第七天安歇，所以耶和華賜福給安息日，把這日分別為聖。
12	“要孝敬父母，使你在耶和華你神賜給你的土地上日子長久。
13	“不可殺人。
14	“不可通姦。
15	“不可偷盜。
16	“不可作偽證陷害別人。
17	“不可貪圖別人的房屋，不可貪圖別人的妻子、男女奴僕、牛驢，或別人的任何東西。”
18	所有的人民都看著雷霆、閃電、號角聲和山上冒煙。人民看見了就顫抖，遠遠地站著。
19	他們對摩西說：“你自己和我們說話吧，我們會聽。不要讓神和我們說話，免得我們死亡。”
20	摩西對人民說：“不要懼怕，因為神來到是要試驗你們，也是要使你們常常敬畏他，不致犯罪。”
21	人民遠遠地站著，摩西則走近神所在的黑雲之中。
 	築壇獻祭和臨在賜福
22	耶和華對摩西說：“你要對以色列人這樣說：‘你們已經親眼看見我從天上和你們說話。
23	你們不可造任何神明與我並列，銀的神明或金的神明你們都不可造。
24	你要為我造的是一座土祭壇，在壇上宰獻你的燔祭和平安祭、羊和牛。在我使人記起我名的每個地方，我都會臨到你，賜福給你。
25	如果你為我造的是石祭壇，不可用鑿過的石頭來建造，因為你在石頭上動用鐵鑿就玷污了那塊石頭。
26	此外你不可使用梯級登上我的祭壇，免得你的下體向著祭壇露出。’”
第二十一章
 	對待男女奴僕的條例
（申15:12~18）
1	“以下是你在人民面前要立的律例。
2	“如果你買希伯來人做奴僕，他要為奴六年，第七年就可以免費離去，成為自由人。
3	若他單身來，就要單身離去；若他是有婦之夫，他的妻子就要和他一同離去。
4	若他的主人給他妻子，而妻子給他生了兒子或女兒，那麼妻子和她的孩子要歸給妻子的主人，他自己要單獨離去。
5	若這個奴僕明確地說‘我愛我的主人、我的妻子兒女，不願意離去作自由人’，
6	主人就要帶他到審判官那裡，然後帶他到門前或門柱旁；主人要用錐子為他的耳朵穿孔，他就永遠做主人的奴僕。
7	“如果有人把女兒賣作女奴，女奴不可像男奴那樣離去。
8	若她的主人曾經指定她歸自己，後來卻厭惡她，就要准許她贖身；主人無權把她賣給外地人，因為他跟這個女奴毀了約。
9	若主人指定她歸自己的兒子，就必須照著對待女兒的律例對待她。
10	若他娶另一個女子，仍不可以減少她的食物、衣物、房事。
11	若這三樣他沒有給這個女奴做到，女奴就可以免費離去，不用付銀子。
 	該判死刑的一些罪行
12	“打人致死的，必須處死。
13	至於那不是預謀殺人，而是神讓別人死在他手裡的人，我會給你設立一個地方，讓他可以逃到那裡去。
14	如果有人蓄意傷害別人，用詭計殺他，那麼即使他逃到我的祭壇，你也要把他抓去處死。
15	“打父母的人必須處死。
16	“拐帶人口的人，把人賣了，或是人還在他手裡，都必須處死。
17	“咒罵父母的人必須處死。
 	傷人
18	“如果男人爭執，一個用石頭或拳頭打另一個，對方沒有死，只是需要臥床，
19	若他能起來，能用拐杖在室外走動，打人的人就免受死刑的責罰，只需賠償他誤工的損失，並且把他完全醫好。
20	“如果有人用棍打男奴或女奴，以致死在他手下，就必定要受報復。
21	但是若奴僕還能挺過一天或兩天，這個人就不必受報復，因為奴僕是他的財產。
22	“如果男人打架，他們打著孕婦，以致胎兒出來了，而沒有傷害，就必須按照婦人丈夫的要求交罰款給對方，按審判官的評估來賠償。
23	若有傷害，你就要叫傷人者以命償命，
24	以眼還眼，以牙還牙，以手還手，以腳還腳，
25	以烙還烙，以傷還傷，以打還打。
26	“如果有人打他男奴的眼睛或女奴的眼睛，把一隻眼睛打壞，就要放他走，讓他作自由人，以償還他的眼。
27	若打落了男奴的一顆牙或女奴的一顆牙，就要放他走，讓他作自由人，以償還他的牙。
 	牛頂人
28	“如果有牛頂死了男人或女人，這頭牛就必須用石頭打死，並且人不可吃牠的肉；牛的主人則免受死刑。
29	若一頭牛過去經常頂人，主人被警告過，卻不看管牠，結果牛頂死了男人或女人，那麼這頭牛要用石頭打死，牛主也要處死。
30	若他被要求付贖價，他就可以支付自己性命的贖金，按照被要求的金額悉數支付。
31	假使牛頂的是男孩，或者頂的是女孩，也要按照這條律例對待主人。
32	若牛頂的是男奴或女奴，牛主就要給奴僕的主人三十舍客勒銀子，那頭牛則要用石頭打死。
 	使別人的牲畜死亡
33	“如果有人打開儲水池的蓋，或是有人掘了儲水池卻不蓋好，以致有牛或驢掉進裡面，
34	儲水池的主人就要賠償，付銀子給牲畜的主人，而死了的牲畜歸他自己。
35	“如果有人的牛撞死別人的牛，他們就要把活牛賣了，平分銀子，死牛也要平分。
36	假使牛主知道那頭牛過去經常頂別的牛，卻不看管牠，牛主就必須賠償，以牛還牛，死牛歸他自己。”
第二十二章
 	偷盜或損害別人的財物
1	“如果有人偷牛或羊，並且宰了或賣了，就要以五頭牛賠償一頭牛，以四隻羊賠償一隻羊——
2	若竊賊掘洞進房子時被發現而被打死，打死他的人就沒有血罪；
3	若打他的時候太陽已經升起，打死他的人就有血罪。竊賊必須賠償；若他一無所有，就要賣身，來償還所偷的東西——
4	然而若他偷的東西，不管是牛、驢，還是羊，在他手中被發現時還活著，他要賠償的則是雙倍。
5	“如果有人在田地或葡萄園放牧，任憑自己的牲口走到別人的田地裡吃東西，他就要用自己田地最好的出產，或自己葡萄園最好的出產來賠償。
6	“如果有火燒起來，蔓延到荊棘叢，燒毀禾捆、未收割的莊稼或田地，點火的人必須賠償。
7	“如果有人把銀子或物件交託別人看管，東西卻從受託者的房子裡被盜，若竊賊被抓到，竊賊就要賠償雙倍。
8	若竊賊沒有被抓到，房子的主人就要被帶到審判官那裡，以斷定他有否動手拿走別人的財物。
9	任何與侵害有關的事，包括有關牛、驢、羊、衣服或任何失物，假使有一方說那是他的，這兩個人的事就要帶到審判官面前，審判官定誰有罪，誰就要雙倍賠償給對方。
10	“如果有人把驢、牛、羊或任何牲畜交託別人看管，期間牲畜死亡、受傷或者被抓走而沒有人看見，
11	受託者就要在交託人面前指著耶和華起誓，以表明他沒有動手拿走對方的財物，牲畜的主人就要接受這個誓言，受託者不必賠償。
12	然而，牲畜若是在他那裡被偷走，他就要賠償牲畜的主人；
13	若是被野獸撕裂了，受託者就要把被撕裂的牲畜帶來作證據，那樣他就不必賠償。
14	“如果有人向別人借牲畜，期間牲畜受傷或死亡，而牠的主人不在場，借的人就必須賠償。
15	若牲畜的主人在場，他就不必賠償。若是租用的，損失的風險已經包括在租金內。
 	哄騙處女
16	“如果有人哄騙還沒有訂婚的處女，和她睡了，他就必須付聘金，娶她為妻。
17	然而，若她父親不肯把女兒嫁給他，他仍然要付銀子，金額相當於處女的聘金。
 	敬奉耶和華，善待窮人
18	“不可讓女巫活著。
19	“任何和牲畜睡的人，都必須處死。
20	“獻祭給別的神，不單單獻給耶和華的人，就定要滅絕。
21	“對寄居者，你不可欺負，不可壓迫，因為你們也曾經在埃及地作過寄居者。
22	“對任何寡婦或孤兒，你都不可苦待。
23	若你苦待他們，一旦他們向我呼冤，我必定垂聽他們呼冤，
24	我就會動烈怒，用刀殺你們，你們的妻子就會成為寡婦，你們的兒女成為孤兒。
25	“你若借錢給我的人民，給在你權下的窮人，不可像放債的人那樣對他；你們不可要求他付利息。
26	若你拿別人的袍子作抵押，要在日落之前還給他，
27	因為那是他唯一的鋪蓋，那是他蔽體的袍子，否則他睡覺時蓋甚麼呢？當他向我呼求的時候，我會垂聽，因為我是有恩惠的。
28	“不可詛咒神，也不可詛咒你人民的領袖。
29	“獻上滿溢的新酒新油，你不可遲延；你兒子之中頭生的，你要獻給我。
30	你也要這樣處理你的牛和羊；雄性頭生的，要和母親在一起七天，第八天就要獻給我。
31	你們要歸我為聖潔的人，因此田間被野獸撕裂的動物的肉，你們不可以吃，要丟給狗。”
第二十三章
 	正直公義
1	“不可接受偽證。不可與惡人聯手作證害人。
2	不可隨眾作惡。在訴訟上作證的時候，不可隨眾歪曲公義；
3	你也不可在訴訟裡偏袒窮人。
4	“如果你碰見仇敵的牛或驢走失，你必須帶回去給他。
5	如果你看見恨你的人的驢被重擔壓垮，站不起來，你不可走開不理驢主，必須幫助他。
6	在你窮人的訴訟裡，不可剝奪他應得的公道。
7	不可接受誣告；清白的人和義人，你不可殺死，因為我不會稱惡人為義。
8	賄賂，你不可以收，因為賄賂會使有眼能看的人變瞎，歪曲義人的話。
9	對寄居者你不可壓迫，因為你們也曾經在埃及地作過寄居者，你們自己知道寄居者的心情。
 	安息年與安息日
10	“六年之內，你要在你的土地播種，收藏土地的出產；
11	但是第七年，你要讓土地歇息，不耕不種，要讓你人民裡的窮人吃其中的自然出產；他們吃剩的，就讓田野動物吃。你也要這樣處理你的葡萄園和橄欖樹。
12	六天可以做你的工作，但第七天你要安息，好讓你的牛和驢安歇，你女奴的兒子和寄居者也可以恢復活力。
13	我對你們所說的一切，你們都要謹慎留意。其他神明的名字，你們不可提起，不可讓人從你口裡聽到。
 	三個節期
（出34:18~26；申16:1~17）
14	“一年三次，你要向我守節期。
15	你要守無酵節；在亞筆月指定的日期，你要吃無酵餅七天，像我吩咐過你的，因為你是在這個月從埃及出來的。不可空手朝見我。
16	又要守收割節，那時收割你工作的首批收成，就是你在田裡播種所得的；還要守過年時的收藏節，那時從田裡收藏你工作所得的。
17	一年三次，你所有男丁都要朝見主耶和華。
18	“不可把我祭牲的血和有酵的食物一同獻上。在節期獻給我的祭牲，牠的硬脂肪不可過夜留到早晨。
19	你土地裡首批收成之中最好的那些，你要帶到耶和華你神的聖所。不可用母山羊的奶煮牠的小羊。
 	應許與訓誨
20	“看哪，我要差遣使者在你前面，好在路上保護你，領你到我已經預備好的地方去。
21	你們在他面前要謹慎，要聽從他的話，不可反叛他，他不會饒恕你們的過犯，因為我的名在他裡面。
22	如果你確實聽從他的話，遵行我說的一切，我就會與你的仇敵為敵，與敵對你的人作對。
23	我的使者會走在你前面，他會領你到亞摩利人、赫特人、比利洗人、迦南人、希未人、耶布斯人那裡去；我會消滅他們。
24	你不可向他們的神明下拜，不可侍奉它們，也不可效法那些人的行為。你要徹底拆毀那些神像，徹底打碎他們的神碑。
25	你們要侍奉耶和華你們的神，我就會賜福給你的食糧和你的水，也會從你們當中除去疾病。
26	在你的國內不會有婦女流產或不育；我會使你享盡完滿的壽數。
27	我會使你面前的仇敵惶恐，使你遇到的所有人慌亂，使你所有仇敵轉身逃跑。
28	我也會差派大黃蜂在你前面，從你面前趕走希未人、迦南人、赫特人。
29	我不會在一年之內把他們從你面前全部趕走，免得那片土地變成荒地，田野動物就多起來危害你。
30	我要漸漸地把那些人從你面前趕走，直到你人數增多，可以得到那片土地作為產業。
31	我會劃定你的疆土，就是從紅海到非利士海，從荒野到幼發拉底河。我會把那片土地的居民交在你們手裡，你要把他們從你面前趕走。
32	你不可與他們或他們的神明立約。
33	不可讓他們住在你的國內，免得他們使你犯罪干犯我。如果你侍奉他們的神明，這就會使你陷入羅網。”
第二十四章
 	立約的儀式
1	耶和華對摩西說：“你上來到耶和華這裡！你、亞倫、拿答、亞比戶和以色列長老中的七十人都上來，你們要在遠處敬拜。
2	然後，摩西可以獨自走近耶和華，他們卻不可以走近，人民也不可以和他一起上來。”
3	摩西就去把耶和華的一切話和一切律例向人民講述。全體人民同聲回答說：“耶和華說的一切話，我們都會遵行！”
4	摩西把耶和華所有的話都寫下來。他清早起來，在山下築一座祭壇，又立十二根碑子，對應以色列十二個支派。
5	然後，他派以色列人裡的年輕人獻一些燔祭，又要他們宰一些公牛作平安祭獻給耶和華。
6	摩西取一半的血，盛在一些盆裡，另一半的血則潑在祭壇上。
7	接著他拿起約書，讀給人民聽；他們說：“耶和華說的一切，我們都會遵行，都會聽從。”
8	摩西就取了血，灑在人民身上，說：“這就是立約的血！這約是耶和華根據這一切的話和你們立的。”
9	隨後，摩西、亞倫、拿答、亞比戶和以色列長老中的七十人就上去。
10	他們看見以色列的神，在他腳下彷彿是用藍寶石鋪成的地面，像天空本身那樣明淨。
11	他沒有伸手擊打以色列人的眾領袖；他們看得見神，而且又吃又喝。
 	摩西在西奈山上
12	耶和華對摩西說：“你上山到我這裡來，留在這裡，我要把石版和我所寫的律法和誡命交給你，用來教導他們。”
13	於是，摩西和服侍他的約書亞一起動身；摩西登上神的山。
14	摩西登山前對那些長老說：“你們在這裡等我們，直到我們回到你們這裡。這裡有亞倫和戶珥和你們一起，誰有甚麼事，可以去見他們。”
15	摩西上山，雲就把山遮蓋了。
16	耶和華的榮耀停駐在西奈山上，那雲把山遮蓋了六天；第七天，耶和華從雲裡呼喚摩西。
17	耶和華的榮耀看起來像山頂上吞噬之火，以色列人都看得清楚。
18	摩西進入雲裡，上了山。摩西在山上四十晝夜。
第二十五章
 	為聖所奉獻
（出35:4~9）
1	耶和華吩咐摩西說：
2	“你要告訴以色列人，叫他們拿奉獻物給我。任何人，如果他的心感動他自願奉獻，你們就收下他給我的奉獻物。
3	以下是你們要從他們接收的奉獻物：金、銀、銅，
4	藍線、紫線、朱紅線、細麻線、山羊毛，
5	染紅了的公綿羊皮、海牛皮、金合歡木，
6	燈油、製作膏抹油和芬芳的香要用的種種香料，
7	瑪瑙石、用來鑲嵌在以弗得和胸袋上的寶石。
8	他們要為我造一座聖所，讓我住在他們中間。
9	我現在展示給你看的一切，就是聖幕的樣式和聖幕一切器物的樣式，你們要照著去造。
 	法櫃的造法
（出37:1~9）
10	“他們要用金合歡木造一個櫃子，長兩肘半，寬一肘半，高一肘半。
11	你要給櫃子包上純金，內外都要包上，並且在櫃子四圍造金邊；
12	又要為它鑄四個金環，安裝在櫃的四腳，兩個環在一邊，兩個環在另一邊。
13	你要用金合歡木造兩根槓子，包上金。
14	然後把槓子穿進櫃兩邊的環裡，用來抬櫃。
15	槓子要留在櫃的環裡，不可抽出來。
16	你要把我將會交給你的法版放在櫃裡。
17	你要用純金造一個施恩座，長兩肘半，寬一肘半。
18	又要用金子造兩個基路伯，用錘打的方法造在施恩座的兩端。
19	造一個基路伯在一端、一個基路伯在另一端；你們要把基路伯造成連於施恩座兩端。
20	兩個基路伯要向上展開雙翅，用翅膀遮掩施恩座，它們的臉要彼此相對；基路伯的臉要朝向施恩座。
21	你要把施恩座安放在櫃頂，櫃裡你要放我將會交給你的法版。
22	我要在那裡和你相會，從法櫃上的施恩座上兩個基路伯之間和你說話，說出我吩咐你告訴以色列人的一切。
 	桌子的造法
（出37:10~16）
23	“你要用金合歡木造一張桌子，長兩肘，寬一肘，高一肘半，
24	包上純金，並且在四圍造金邊。
25	你要在桌子四圍造一個橫撐條框，寬一掌，在橫撐條框四圍造金邊；
26	又要為它造四個金環，把這些環子安裝在桌子四角，就是四條桌腳所在的位置；
27	環子要靠近橫撐條框，用來穿槓子抬這張桌子。
28	你要用金合歡木造這兩根槓子，包上金，用來抬桌子。
29	你還要造桌子上那些碗、碟、傾倒液體用的瓶和杯，這些你都要用純金造。
30	在桌子上你恆常要擺放著呈獻餅在我面前。
 	燈台的造法
（出37:17~24）
31	“你要造一個純金的燈台。要用錘打的方法造這個燈台，它的底座和主幹，它的杯、球飾、花朵都要連於燈台。
32	要有六根枝子從燈台兩邊伸出來，燈台的三根枝子在一邊，燈台的三根枝子在另一邊。
33	在一邊，每根枝子上要有三個杯，形狀像扁桃花，有球飾和花朵；在另一邊，每根枝子上也要有三個杯，形狀像扁桃花，有球飾和花朵，從主幹伸出的六根枝子都要這樣。
34	而主幹上要有四個杯，形狀像扁桃花，有球飾和花朵。
35	兩根枝子底部要有一個球飾，球飾連於燈台；兩根枝子底部要有一個球飾，球飾連於燈台；兩根枝子底部要有一個球飾，球飾連於燈台；從主幹伸出的六根枝子都要這樣。
36	這些球飾和枝子都要連於燈台，整個燈台要從一塊純金錘成。
37	你要造燈台的燈盞，共七個；人要放這些燈盞上去，照亮燈台前方。
38	燈台的火鉗和火鏟都要是純金的。
39	要用一他連得純金造燈台和所有這些器物。
40	你要留心，各樣物件都要照著在山上展示給你看的樣式去造。”
第二十六章
 	聖幕的造法
（出36:8~19）
1	“聖幕，你要用十幅長布來造，長布用搓成的細麻線、藍線、紫線、朱紅線編織，精工做出基路伯圖案。
2	每幅長布長二十八肘，每幅長布寬四肘，所有長布的大小都一樣。
3	其中五幅長布要彼此相連，另外五幅長布也要彼此相連。
4	在一組長布的最後一幅邊上，你要造一些藍線圈；在第二組長布的最後一幅邊上，也要這樣造。
5	在一幅長布上要造五十個線圈，在第二組長布的最後一幅邊上也要造五十個線圈，圈圈相對。
6	你要造五十個金鈎，用這些鈎子把兩組長布連起來，成為一個聖幕。
7	“你要用山羊毛造一些長布，作為鋪在聖幕上的帳幕；你要造十一幅長布。
8	每幅長布長三十肘，寬四肘，十一幅長布的大小都要一樣。
9	你要把其中五幅長布連起來為一組，把另外那六幅長布也連起來為一組。你要把第六幅長布對摺，半幅垂在帳幕前面。
10	在一組長布的最後一幅邊上，你要造五十個線圈；在第二組長布的最後一幅邊上，也造五十個線圈。
11	你要造五十個銅鈎，把鈎子穿進線圈裡，把帳幕連起來，成為一個。
12	帳幕的長布多出的部分，就是多出的那半幅長布，要垂在聖幕後面。
13	帳幕長布比聖幕長布多出的長度，要這邊一肘，那邊一肘，垂在聖幕兩邊，遮蓋聖幕。
14	你要用染紅了的公綿羊皮為這個帳幕造一個蓋子，用海牛皮再造一個蓋子在上面。
 	幕牆的造法
（出36:20~34）
15	“你要用金合歡木造聖幕的豎板。
16	每塊板長十肘，寬一肘半。
17	每塊板要有兩個榫頭，兩個榫頭彼此平行；聖幕的所有豎板你都要這樣造。
18	你要為聖幕造豎板，朝南的一面要造二十塊，
19	在這二十塊板底下，造四十個銀柱座；一塊板底下放兩個柱座，插那塊板的兩個榫頭，下一塊板底下也放兩個柱座，插那塊板的兩個榫頭。
20	聖幕的另一邊，就是北面，你也要造二十塊豎板，
21	以及四十個銀柱座。一塊板底下放兩個柱座，下一塊板底下也放兩個柱座。
22	聖幕的後面，就是西面，你要造六塊豎板。
23	你要給聖幕後面的角落造兩塊豎板，
24	這樣就會有雙重的豎板，由下方到頂部完全對齊，套進同一個箍。兩塊都要這樣給兩個角落造。
25	要有八塊豎板和它們的銀柱座，共十六個柱座，一塊板底下有兩個柱座，下一塊板底下也有兩個柱座。
26	“你要用金合歡木造橫板，五塊橫板給聖幕一邊的豎板，
27	五塊橫板給聖幕第二邊的豎板，五塊橫板給聖幕後邊即西面的豎板。
28	在豎板的半腰要有一塊橫板，由一端穿到另一端。
29	豎板要包上金。你要在豎板上造一些金環，用來穿橫板。你也要給橫板包上金。
30	你要照著在山上展示給你看的規制立起聖幕。
 	幔帳的造法
（出36:35~36）
31	“你要用藍線、紫線、朱紅線、搓成的細麻線造幔帳。要以精工造出基路伯圖案。
32	你要把幔帳掛在四根金合歡木柱上，柱子要包金，柱鈎是金的，柱子安在四個銀柱座上。
33	你要把幔帳掛在聖幕長布的那排鈎子下方，把法櫃抬進幔帳裡面。這幅幔帳就為你們分開聖所和至聖所。
34	你要把施恩座放在至聖所裡的法櫃上，
35	把那張桌子放在幔帳外面，把燈台放在桌子對面，靠近聖幕南邊，桌子你要放在北邊。
 	門簾和柱子的造法
（出36:37~38）
36	“你要用藍線、紫線、朱紅線、搓成的細麻線造帳幕門口的門簾，用織彩色布的方法造。
37	你要為門簾造五根金合歡木柱，包上金，柱鈎是金的，也要為柱子鑄五個銅柱座。”
第二十七章
 	祭壇的造法
（出38:1~7）
1	“你要用金合歡木造祭壇，長五肘，寬五肘，祭壇是四方形的，高三肘。
2	你要在祭壇的四角上造翹角，這些翹角要連於祭壇。你要給祭壇包上銅。
3	你要造一些盆來裝祭壇的灰；又要造灰鏟、潑血碗、肉叉、火鏟。祭壇的一切器物，你都要用銅來造。
4	你要為祭壇造一個銅網，又要造四個銅環裝在網的四個角上。
5	把網安在祭壇的凸框下方，在下面包著祭壇，使網達到祭壇的半腰。
6	你要為祭壇造兩根槓子，槓子用金合歡木造，要包上銅。
7	槓子要穿在那些環裡，抬祭壇的時候，槓子就在祭壇兩邊。
8	祭壇要用板造，中間是空的。要按照在山上展示給你看的那樣去造。
 	院子的造法
（出38:9~20）
9	“你要造聖幕的院子。在南面要有院子的幕牆，用搓成的細麻線為院子造幕牆，在這邊長一百肘。
10	幕牆的柱子要有二十根，銅柱座二十個。柱子上的鈎子和箍都是銀的。
11	北面也一樣，要有長一百肘的幕牆，幕牆的柱子二十根，銅柱座二十個，柱子上的鈎子和箍都是銀的。
12	院子西面的幕牆要寬五十肘，幕牆的柱子要有十根，柱座十個。
13	院子東面，就是向著日出那面，寬五十肘。
14	門的一側要有十五肘的幕牆，幕牆的柱子三根，柱座三個。
15	門的另一側也要有十五肘的幕牆，幕牆的柱子三根，柱座三個。
16	院子的大門要有門簾，寬二十肘，用藍線、紫線、朱紅線、搓成的細麻線，用織彩色布的方法織成，柱子有四根，柱座四個。
17	院子周圍所有柱子都要有銀箍。柱子上的鈎子是銀的，柱座是銅的。
18	院子長一百肘，寬五十肘，高五肘，幕牆用搓成的細麻線造，柱座用銅造。
19	聖幕勤務的一切用具、聖幕的所有釘子，以及院子的所有釘子，都要是銅的。
 	對油和燈的規定
（利24:1~4）
20	“你要吩咐以色列人，把榨成的純淨橄欖油拿來給你，用來點燈，讓燈恆常燃亮。
21	在會幕裡法櫃前的幔帳外，亞倫和他的子孫要整理這燈，讓燈從晚上到早晨在耶和華面前燃亮。這要成為他們世世代代永遠的規定，橄欖油來自以色列人。”
第二十八章
 	吩咐為亞倫和他的兒子們造聖衣
（出39:1）
1	“你要叫你哥哥亞倫和他的兒子們，從以色列人當中到你跟前來，做我的祭司——亞倫，以及亞倫的兒子拿答、亞比戶、以利亞撒、以他瑪。
2	你要為你哥哥亞倫造聖衣，以顯出榮耀、華美。
3	你要吩咐所有心裡有智慧的人，就是我用智慧的靈充滿的人，給亞倫造衣服，使他分別為聖，做我的祭司。
4	這些是他們要造的衣服：胸袋、以弗得、外袍、織成的內袍、禮冠、腰帶。他們要為你哥哥亞倫和他的兒子們造聖衣，好使他們做我的祭司。
5	他們要用金線、藍線、紫線、朱紅線、細麻線來造聖衣。
 	以弗得的造法
（出39:2~7）
6	“他們要用金線、藍線、紫線、朱紅線、搓成的細麻線做以弗得，用精工織布的方法造。
7	以弗得要有兩條連接著的肩帶，連接在它的兩端。
8	在上面繫著以弗得的精工織帶，要用一樣的做法造，連於以弗得，用金線、藍線、紫線、朱紅線、搓成的細麻線織成。
9	你要取兩塊瑪瑙石，把以色列眾子的名字刻在上面，
10	六個名字在一塊寶石上，其餘六個名字在另一塊寶石上，按照他們出生的次序。
11	你要用雕刻寶石的手藝，像刻印章那樣把以色列眾子的名字刻在這兩塊寶石上，再把寶石鑲嵌在金絲編成的槽裡。
12	你要把這兩塊寶石安在以弗得的兩條肩帶上，作為使以色列人蒙顧念的寶石；亞倫要在耶和華面前用兩肩扛著他們的名字，使他們蒙顧念。
13	你要做金絲編成的槽，
14	和兩條純金的繩子，用編繩子的方法編成，把這兩條繩子接在槽上。
 	胸袋的造法
（出39:8~21）
15	“你要用精工織布的方法造一個神諭胸袋，和造以弗得的方法一樣，要用金線、藍線、紫線、朱紅線、搓成的細麻線造。
16	要用一塊布對折，形成正方形的胸袋，長一虎口，寬一虎口。
17	你要在胸袋鑲嵌寶石，共四行寶石：第一行是紅玉髓、托帕石、翡翠；
18	第二行是綠寶石、藍寶石、玉髓；
19	第三行是紅鋯石、綠玉髓、紫水晶；
20	第四行是金黃石、瑪瑙、鐵石英。這些都要鑲嵌在各自的金絲槽裡。
21	這些寶石要有以色列眾子的名字，按著他們名字的數目共十二塊；像刻印章一樣，每塊刻一個名字，代表十二個支派。
22	你要在胸袋上造兩條純金的繩子，用編繩子的方法編成；
23	又要在胸袋上造兩個金環，把這兩個環安在胸袋的兩端，
24	把那兩條金繩繫在胸袋兩端的兩個環裡。
25	至於那兩條繩子的另外兩端，你要接在兩個槽上，安在以弗得的肩帶上，朝向前面。
26	你要造兩個金環，安在胸袋下邊的兩端，貼近以弗得，朝向裡面。
27	你要再造兩個金環，安在以弗得兩條肩帶的下方，朝向前面，靠近連接處，在以弗得的精工織帶上方。
28	穿著者要用藍色繩子把胸袋的環子繫在以弗得的環子上，使胸袋貼著以弗得的精工織帶，免得胸袋從以弗得脫落下來。
29	這樣，亞倫進入聖所的時候，就會把神諭胸袋上以色列眾子的名字掛在胸前，恆常使耶和華顧念他們。
30	你要把烏陵和土明放進神諭胸袋；這樣，亞倫進到耶和華面前的時候，這些就會在他胸前；這樣，亞倫就會在耶和華面前，恆常把為以色列人尋求神諭的工具掛在心上。
 	外袍的造法
（出39:22~26）
31	“你要造以弗得的外袍，整件全是藍色的。
32	在外袍正中頭部的地方，要有一個領口，領口周圍有領邊，要用織單色布的方法造，像結實衣服的領口那樣，免得領口破裂。
33	在外袍底邊，你要用藍線、紫線、朱紅線造石榴，縫在底邊周圍，又要有金鈴在周圍的這些石榴之間。
34	一個金鈴、一個石榴、一個金鈴、一個石榴，在外袍底邊周圍。
35	亞倫服侍的時候要穿上這袍子；當他進入聖所到耶和華面前，或者他出來的時候，袍上的鈴鐺聲就會被聽見，他就不會死亡。
 	冠牌的造法
（出39:30~31）
36	“你要用純金造一面牌子，在牌上像刻印章一樣刻上‘歸耶和華為聖’。
37	用一條藍色繩子，把牌子繫在禮冠上，要繫在禮冠的前方。
38	這塊牌子在亞倫額上，亞倫就可以擔當和除去以色列人涉及聖物的罪責－－聖物就是以色列人分別為聖的一切神聖禮物。這塊牌子要恆常在他額上，好使聖物在耶和華面前可以得蒙悅納。
 	內袍的造法
（出39:27~29）
39	“你要用細麻織內袍，用細麻造禮冠，用織彩色布的方法造腰帶。
40	你們要為亞倫的兒子們造內袍，為他們造腰帶，頭巾也要為他們造，以顯出榮耀、華美。
41	你要把這些給你哥哥亞倫和與他一起的兒子們穿上，又要膏立他們，使他們承受聖職，使他們分別為聖，做我的祭司。
42	你還要用細麻布為他們造褲子，以遮蓋下體；褲子要從腰間蓋至大腿。
43	亞倫和他的兒子們進入會幕，或是上前到祭壇那裡，在聖所裡服侍的時候，都要穿上褲子，免得他們擔當罪責而死。這要成為亞倫和他未來的後裔永遠的規定。”
第二十九章
 	聖職祭的規定
（利8:1~28）
1	“這是你要為他們做的事，使他們分別為聖，做我的祭司：取青壯公牛一頭、公綿羊兩隻，都要完好的；
2	以及無酵餅、調油烤成的無酵餅、抹上油的無酵薄餅。你做這些餅，要用上等粗粒小麥粉。
3	要把這些餅都放在一個籃子裡，然後把裝著餅的籃子、那頭公牛、那兩隻公綿羊帶來。
4	你要領亞倫和他的兒子們前來，到會幕門口，用水洗濯他們。
5	然後你要取那些聖衣來，給亞倫穿上內袍、以弗得的外袍、以弗得、胸袋，並且把以弗得的精工織帶繫在他身上。
6	要把禮冠戴在他頭上，把聖冠安在禮冠前面。
7	要取膏抹油，倒在他頭上，膏立他。
8	你要領他的兒子們前來，給他們穿上內袍，
9	束上腰帶，包上頭巾。這樣，祭司職分就屬於他們，這是永遠的規定。你要這樣使亞倫和他的兒子們承受聖職。
10	“你要把那頭公牛領到會幕前，亞倫和他的兒子們要把手按在公牛頭上。
11	你要在耶和華面前，在會幕門口，宰殺這頭公牛。
12	然後取公牛的一些血，用手指塗在祭壇的四個翹角上，其餘的血全都要傾倒在祭壇的底座上。
13	要取出蓋著內臟的一切硬脂肪、肝的尾狀葉、兩個腎和附著的硬脂肪，在祭壇上焚化為煙。
14	至於那頭公牛的肉、皮、腸，你都要在營外用火燒掉。這是贖罪祭。
15	“你要把其中一隻公綿羊取來，亞倫和他的兒子們要把手按在公綿羊頭上。
16	你要宰殺這隻公綿羊，取羊血，潑在祭壇四壁上。
