使徒行傳
第一章
 	吩咐門徒等候聖靈
35	到了天亮，民政官派法警來，說：“把那兩個人放了吧！”
36	獄卒就把這些話告訴保羅，說：“民政官派人來釋放你們，現在可以出來，平平安安地走吧！”
37	保羅對他們說：“我們是羅馬公民，還沒有定罪，他們就當眾打我們，又把我們投進牢獄；現在要偷偷地趕我們出去嗎？不行！他們要親自來領我們出去！”
38	法警把這番話回報那些民政官，民政官聽說他們是羅馬公民，就害怕了，
39	於是到獄中安撫他們，領他們出來，請求他們離開那城。
40	兩人出了獄，到呂蝶雅那裡去，見了弟兄們，鼓勵他們一番，就離開了。
第十七章
 	帖撒羅尼迦的騷動
1	保羅和西拉經過安非波里、亞波羅尼亞，來到帖撒羅尼迦，在那裡有一個猶太人的會堂。
2	保羅照他的習慣進去，一連三個安息日，根據聖經向他們講論，
3	講解證明基督必須受害，從死人中復活，說：“我所傳給你們的這位耶穌，就是基督。”
4	他們當中有人信服，就跟隨了保羅和西拉，還有一大群敬虔的希臘人，以及不少顯要的婦女。
5	但是，猶太人嫉妒起來，就招聚了一些市井流氓，糾合成群，致使全城騷動。他們衝進了雅森的家，搜尋保羅和西拉，要把他們交給民眾；
6	搜不到他們，就把雅森和幾個弟兄，拉到地方長官那裡，喊叫著說：“這些擾亂天下的人也到這裡來了，
7	雅森竟收留他們！這些人全都違背凱撒的法令，說另外還有一個王耶穌。”
8	群眾和那些地方長官聽見這話，就驚慌起來，
9	收了雅森和其餘的人的保釋金才釋放他們。
 	來到貝里亞
10	弟兄們當夜立刻送保羅和西拉往貝里亞去。兩人到了，就進入猶太人的會堂。
11	這裡的人比帖撒羅尼迦人開明，非常熱心地領受主的道，每天查考聖經，要知道兩人所說的是否真實。
12	結果他們當中有很多人信了，還有不少希臘貴婦和男子。
13	但是，帖撒羅尼迦的猶太人知道保羅又在貝里亞宣講神的道，就到那裡去，煽動挑撥群眾。
14	於是，弟兄們立刻把保羅送到海邊去，西拉和提摩太仍然留在貝里亞。
15	護送保羅的人帶他到了雅典，保羅吩咐他們叫西拉和提摩太盡快來見他，他們就領命回去了。
 	保羅在雅典
16	保羅在雅典等候他們的時候，看見滿城都是偶像，心裡就很憤激。
17	於是，他在會堂裡向猶太人和敬虔的人講論，並且天天在市中心向所遇見的人講論。
18	還有一些伊壁鳩魯派的人和斯多亞派哲學家跟他討論，有的說：“這個拾人牙慧的人要說甚麼呢？”有的說：“他似乎是個宣傳外地鬼神的人。”這是因為保羅傳揚耶穌和復活的福音。
19	他們拉著保羅，把他帶到戰神岡議事會那裡，說：“你所講的這個新道理，我們可以知道嗎？
20	因為你把一些新奇的事傳到我們耳中，所以我們想知道這些事是甚麼意思。”
21	原來所有雅典人和旅居當地的外國人，都不管別的，只是不斷談論或聽聽新奇的事來打發時間。
22	保羅站在戰神岡議事會當中，說：“各位雅典人，我看你們在各方面都非常敬畏鬼神。
23	我經過這裡的時候，細看你們所敬拜的，甚至發現有一座壇在上面寫著‘獻給不認識的神’。那麼，你們不認識而敬拜的這一位，我現在就傳講給你們。
24	創造世界和其中萬有的神不住在人手所造的廟宇，因為他是天地的主；
25	他也不受人手服侍，好像他缺少甚麼似的，自己反而把生命、氣息和一切賜給萬人。
26	他從一個人造出萬族來，使他們住在整個大地上，並且定了他們的期限和居住的疆界，
27	好讓他們尋求神，或者可以摸索而找到他，其實他離我們每個人不遠，
28	因為‘我們活著、行動、存在都在於他’，就如你們自己有些詩人說：‘原來我們也是他的子孫。’
29	我們既然是神的子孫，就不應該以為他的神性好像人用手藝、心思所雕塑的金銀石頭一樣。
30	不過，過去那無知的時代，神並不追究；但是現在，他卻吩咐各處的人都要悔改，
31	因為他已經定好了日子，要藉著他所立的人按公義審判天下；他已經使這個人從死人中復活，給萬人做可靠的憑據。”
32	他們聽到死人復活的事，有的就譏笑他，但是也有的說：“我們要再聽聽你講這件事！”
33	就這樣，保羅離開了他們。
34	但是，有些人跟他結交，並且信了主，其中有戰神岡議事會的議員狄奧尼修，有一個名叫戴瑪莉的女子，還有其他與他們在一起的人。
第十八章
 	保羅在哥林多
1	後來，保羅離開雅典，來到哥林多，
2	找到一個生在本圖的猶太人，他名叫亞居拉，和妻子百姬拉剛從意大利來到，因為克勞迪下令，所有的猶太人都要離開羅馬；保羅就去見他們。
3	他們以做帳篷作為業，保羅因為是同業，就住在他們那裡，一起工作。
4	每逢安息日，保羅都在會堂講論，試圖說服猶太人和希臘人。
5	西拉和提摩太從馬其頓下來的時候，保羅正專心致志傳揚主的道，鄭重地向猶太人證明耶穌是基督。
6	但是他們抗拒保羅，出言毀謗，保羅就抖著衣服對他們說：“你們的血債由你們自己承擔，我是清白的。從今以後，我要到外族人那裡去。”
7	於是，保羅從那裡遷到提多猶士圖的家。這人是敬畏神的，他的家靠近會堂。
8	會堂主管基利司布和他全家都信了主，許多哥林多人聽了保羅所講的也信而受洗。
9	夜裡，主藉著異象對保羅說：“不要怕，只管講，不要閉口！
10	因為有我與你同在，沒有人可以加害於你，這是因為在這城裡有許多屬於我的子民。”
11	保羅在那裡居留了一年零六個月，在他們當中教授神的道。
12	迦流作亞該亞省長的時候，猶太人一同起來攻擊保羅，拉他到審判台前，
13	說：“這個人慫恿人不按律法敬拜神。”
14	保羅剛要開口，迦流就對猶太人說：“猶太人啊，如果有犯法的事或嚴重的詐騙，我就有理由接受你們的申訴；
15	如果爭論的是關於字句、名稱和你們的律法，你們就自己處理吧。我不願意做這些事的審判官！”
16	於是把他們從審判台前趕出去。
17	大家就揪住會堂主管索提尼，在審判台前毆打他；這些事迦流一概不管。
 	結束第二次宣教旅程
18	保羅住了好些日子，然後辭別弟兄們，坐船去敘利亞，與他同行的有百姬拉和亞居拉。他因為許過願，就在堅革里剃了頭髮。
19	到了以弗所，保羅留他們在那裡。保羅自己到會堂去向猶太人講論。
20	眾人請他多住些時候，他沒有答應，
21	但是辭別他們的時候說：“如果神許可，我還要回到你們這裡來。”於是就從以弗所開船去了。
 	第三次宣教旅程
22	保羅在凱撒利亞登岸，上耶路撒冷問候教會，然後下安提阿去。
23	他住了一些時候，又離開那裡，先後經過加拉太一帶和弗呂迦，堅定眾門徒。
 	亞波羅在以弗所傳道
24	有一個名叫亞波羅的猶太人來到了以弗所；他生在亞歷山大，很有口才，熟習聖經。
25	這人在主的道路上受過訓練，心靈火熱，講論、教導人關於耶穌的事都很精確，可是只知道約翰的洗禮。
26	這人開始在會堂裡放膽講論；百姬拉和亞居拉聽了，就把他接來，把神的道路更精確地向他講解。
27	後來亞波羅想渡海到亞該亞去，弟兄們就鼓勵他，又寫信請當地的門徒接待他。他到了那裡，對那些蒙恩信主的人幫助很多，
28	因為他當眾有力地駁倒猶太人，引用聖經證明基督就是耶穌。
第十九章
 	保羅在以弗所
1	亞波羅在哥林多的時候，保羅經過內陸地區，來到以弗所，在那裡遇見一些門徒，
2	就問他們說：“你們信的時候，領受了聖靈沒有？”他們說：“沒有，我們甚至沒聽說過有聖靈這回事。”
3	保羅又問：“那麼你們受的是甚麼洗禮呢？”他們說：“是約翰的洗禮。”
4	保羅說：“約翰施行的是表示悔改的洗禮，他告訴民眾要相信在他以後來的那一位，就是耶穌。”
5	他們聽見這話，就受洗歸入主耶穌的名下。
6	保羅按手在他們頭上，聖靈就臨到他們身上，他們就用各種方言說話，並且做先知為神傳話——
7	他們總共約有十二個人。
8	一連三個月，保羅都到會堂裡去，放膽宣講，講論神的王國的事，勸導人。
9	可是，有些人心裡剛硬，不受勸化，在群眾面前毀謗這道路，保羅就離開他們，又把門徒帶走，每天在推喇奴講堂向他們講論。
10	這樣過了兩年，所有亞西亞的居民，無論是猶太人還是希臘人，都聽見主的道。
 	士基瓦的七個兒子
11	神藉著保羅的手不斷施行非凡的神蹟，
12	甚至保羅貼身的手帕或圍巾，有人拿去放在病人身上，病就從他們身上消退，邪靈也出去了。
13	那時，有些周遊趕鬼的猶太人，也嘗試用主耶穌的名向有邪靈附身的人說：“我奉保羅所宣講的耶穌，命令你們出來。”
14	有一個猶太人士基瓦，是祭司長，他的七個兒子都做這事。
15	邪靈卻回答他們：“耶穌我認識，保羅我也知道，但你們呢？你們是誰？”
16	邪靈所附的那人就撲到他們身上，把他們都制伏，這樣就勝過了他們，使他們赤身帶傷從那房子逃了出來。
17	所有住在以弗所的人，無論是猶太人還是希臘人，都知道這件事，他們全都非常害怕；這樣，主耶穌的名就被尊為大了。
18	有許多信了的人，來承認、述說自己的所作所為。
19	又有好些行巫術的人，把他們的書拿來，當眾燒掉。他們估計書價，才知道共值五萬個銀幣。
20	這樣，主的道大有能力地興旺起來，而且得勝。
 	以弗所的騷動
21	這些事過了以後，保羅靠著聖靈決定要經過馬其頓和亞該亞，往耶路撒冷去。他說：“我到了那邊以後，也該去羅馬看看。”
22	於是，保羅從服侍他的人中，派了提摩太和伊拉斯圖兩人去馬其頓，自己暫時留在亞西亞。
23	那時，當地為了這道路發生一場不小的騷亂：
24	有一個銀匠，名叫狄米特盧，是製造阿蒂米絲神龕銀質模型的，給眾技工帶來不少生意。
25	他把技工和這類行業的工人聚集起來，說：“各位，你們知道，我們是靠這生意發財的。
26	現在你們看見了，也聽見了，這個保羅不僅在以弗所，而且在差不多整個亞西亞，都說服並帶壞了一大群人，說人手所做的都不是神。
27	這樣，不僅我們這個行業會被人鄙視，就連偉大女神阿蒂米絲的廟也會被人認為甚麼都不是——她是全亞西亞和普天下所敬拜的，連她的威榮也要完全喪失了！”
28	他們聽了，就滿腔怒火，喊著說：“以弗所人偉大的阿蒂米絲啊！”
29	於是全城騷動起來。他們抓住保羅的旅伴馬其頓人該猶和亞里達古，一齊衝進劇場。
30	保羅想要到人群當中去，門徒卻不讓他去；
31	還有幾位亞西亞的官員，是保羅的朋友，也派人來勸他不要自己冒險到劇場裡去。
32	那時，有的叫這個，有的喊那個，因為聚集的人亂成一團，大多數都不知道聚集的原因。
33	猶太人把亞歷山大推到前面，群眾中有些人就給他指示。亞歷山大打了一個手勢，想要向民眾申辯。
34	可是，大家一認出他是猶太人，就異口同聲高呼：“以弗所人偉大的阿蒂米絲啊！”喊了約有兩個小時。
35	後來，書記官使群眾安靜下來，就說：“以弗所人啊，誰不知道你們的城看守偉大的阿蒂米絲廟，又守護她那個從天而降的神像呢？
36	既然這些事是駁不倒的，你們就應該平心靜氣，不要輕舉妄動。
37	你們帶來的這些人，既沒有搶劫廟宇，也沒有褻瀆我們的女神。
38	不過，如果狄米特盧和那些跟他一起的技工要控告誰，法庭是開著的，省長也在，讓他們彼此控告好了。
39	你們如果還有別的要求，就要在合法的集會上解決。
40	事實上，關於今天的事，我們有可能會被控暴亂，因為我們無法對這次騷動作出交代。”說了這些話，就把群眾解散了。
第二十章
 	往馬其頓及希臘
1	騷亂平息以後，保羅派人把門徒請來，鼓勵一番，就告辭出發，往馬其頓去了。
2	他經過那一帶地方，用許多話鼓勵眾人，然後來到希臘。
3	他在那裡住了三個月，正要坐船往敘利亞去的時候，有些猶太人設計要害他，他就決定取道馬其頓回去。
4	跟他同行的有：貝里亞人畢羅斯的兒子索巴特、帖撒羅尼迦人亞里達古和西昆都、特庇人該猶和提摩太、亞西亞人圖基古和特羅非摩。
5	這些人先走，在特羅亞等候我們。
6	我們則過了無酵節才從腓立比開船，五天後到了特羅亞見他們，在那裡逗留了七天。
 	在特羅亞使猶推古復活
7	一週的第一天，我們聚會擘餅的時候，保羅向大家講論，他因為第二天要啟程，就一直講到半夜。
8	我們聚會的那個樓上房間有好些燈火。
9	有一個年輕人，名叫猶推古，坐在窗台上，當保羅講了很久的時候，猶推古漸漸陷入沉睡，沉睡著了就從三樓掉下去，被人扶起來的時候已經死了。
10	保羅走下去，伏在他身上，抱住他說：“不要驚慌，他還活著。”
11	隨即回到樓上，擘餅吃了，又講了好一會兒，直到天亮才走。
12	他們把那孩子活活地領回家去，得到了極大的安慰。
 	從特羅亞往米利都
13	我們先上船，開往亞朔，要在那邊接保羅；他這樣安排，是因為自己要走陸路。
14	他在亞朔和我們會合，我們接他上船，去到米推利尼。
15	我們從那裡開船，第二天到了基阿對面，過了一天就在撒摩靠岸，再過一天到了米利都。
16	原來保羅已經決定繞過以弗所，免得在亞西亞耽擱時間，因為他急著趕路，希望盡可能在五旬節那一天趕到耶路撒冷。
 	保羅勸勉以弗所的長老
17	他從米利都派人去以弗所，請教會的長老來。
18	他們到了保羅那裡，保羅就對他們說：“你們知道，自從我到了亞西亞的第一天以來，我一直怎樣跟你們相處，
19	怎樣服侍主，完全謙卑，常常流淚，又因猶太人謀害我而經歷種種試煉。
20	你們也知道，任何對你們有益的事，我從來沒有畏縮不敢向你們傳講，而是在公眾面前或各人家裡教導你們。
21	無論是對猶太人還是對希臘人，我都鄭重地作過見證，要他們悔改歸向神，信靠我們的主耶穌基督。
22	現在，我心靈已受捆綁，要去耶路撒冷，我不知道在那裡會遭遇甚麼事，
23	只知道聖靈在各城裡都向我鄭重地指明，說有捆鎖和患難在等著我。
24	但是，我並不珍惜自己的性命，只求跑完我競賽的路，完成我從主耶穌所領受的侍奉，為神恩典的福音鄭重地作見證。
25	“我曾經在你們當中來往，宣講神的王國。但是現在，我知道你們大家都不會再見到我的面了。
26	所以，我今天向你們作證，我是清白的，無須承擔任何人的血債。
27	要知道，神的全部計劃，我都沒有畏縮不向你們傳講。
28	聖靈已經立你們為整個羊群的監督，你們要為自己謹慎，也為整個羊群謹慎，牧養神用自己兒子的血贖來的教會。
29	我知道在我離開之後，兇暴的豺狼就會進入你們當中，不會顧惜羊群。
30	你們自己當中也會有人起來，講說歪曲的道路，引誘門徒跟隨他們。
31	所以，你們要保持警醒，記住我這三年來晝夜不停地帶著眼淚勸誡你們每一個人。
32	現在我把你們交託給神和他恩典的道；這道能造就你們，也能賜你們在所有成聖的人當中得產業。
33	我從來沒有貪圖任何人的金銀或衣服。
34	你們自己也知道，我這雙手供應了我和同伴的需要。
35	我凡事以身作則，叫你們知道我們必須勞苦做工來幫助那些貧困的人，並且要記住主耶穌自己的話：‘施比受更為有福。’”
36	他說了這些話，就跪下來和大家一起禱告。
37	大家都放聲痛哭，摟住保羅的脖子親吻他。
38	使他們最傷心的，是保羅說他們不會再見他的面那句話。之後，他們送他上了船。
第二十一章
 	結束第三次宣教旅程
1	我們與他們惜別以後，就開船直航到科斯島，第二天到羅得島，又從那裡駛往帕塔拉，
2	找到一艘開往腓尼基的船，就上船起航。
3	我們遠遠看見塞浦路斯，就從南邊駛過，直航敘利亞，在推羅登岸，因為船要在那裡卸貨。
4	我們找到一些門徒，在那裡住了七天，他們藉著聖靈的指示不斷告訴保羅不要上耶路撒冷去。
5	我們逗留的時間結束了，又啟程前行，他們各人帶著妻子兒女送我們到城外。我們跪在海灘上禱告，
6	互相道別。我們上了船，他們就回家去了。
7	我們從推羅繼續航行，到了托勒密，問候那裡的弟兄，跟他們住了一天。
8	第二天我們離開那裡，來到凱撒利亞，到傳福音者腓利的家裡，和他住在一起，他是那七位執事當中的一位。
9	他有四個女兒，都是處女，能做先知為神傳話。
10	我們住了幾天之後，有一位名叫亞迦布的先知從猶太下來。
11	他來到我們這裡，把保羅的腰帶拿過來，綁住自己的手腳，說：“聖靈說，猶太人在耶路撒冷要這樣捆綁這腰帶的主人，把他交在外族人的手裡。”
12	我們聽到這番話，就和當地的人勸保羅不要上耶路撒冷去。
13	於是保羅回答：“你們為甚麼這樣痛哭使我心碎呢？我為主耶穌的名，別說被捆綁，就算要死在耶路撒冷，我也準備好了。”
14	既然他不聽勸，我們只說了“願主的旨意成就”，就默然不語了。
 	保羅去耶路撒冷
15	過了幾天，我們收拾行裝上耶路撒冷去。
16	有些來自凱撒利亞的門徒也跟我們一起去，領我們到一個塞浦路斯人穆拿森家裡住宿；這人是一個早期的門徒。
 	保羅報告工作的情況
17	我們到了耶路撒冷，弟兄們高高興興地接待我們。
18	第二天，保羅和我們一起去見雅各，所有長老也都在場。
19	保羅問候了他們，就把神藉著他的侍奉在外族人當中所行的一一述說出來。
20	他們聽了，就讚美神，跟著對保羅說：“弟兄，你看，猶太人當中信主的成千上萬，都是對律法很熱心的人。
21	他們聽說，你教導所有在外族人當中的猶太人背棄摩西，叫他們不要給孩子行割禮，也不要遵守規條。
22	他們肯定會聽說你來了，那怎麼辦呢？
23	你就照我們的話做吧，我們這裡有四個人，都許過願。
24	你把他們帶去，和他們一起行潔淨禮，並且替他們付錢，好讓他們可以剃去頭髮，這樣大家就知道，以前聽見關於你的事都不是真的，也知道你行事循規蹈矩，遵守律法。
25	至於信主的外族人，我們已經照著決議寫了信，吩咐他們要戒絕祭偶像的食物、血、勒死的牲畜、淫亂。”
26	於是，第二天保羅帶著那幾個人，和他們一起行了潔淨禮。他們進了聖殿，報明了他們潔淨期滿的日子，就是祭司為各人獻上供物的時間。
 	保羅在聖殿被猶太人抓住
27	那七天將要期滿的時候，從亞西亞來的猶太人看見保羅在聖殿裡，就煽動群眾，並且下手抓住他，
28	喊叫著說：“以色列人啊，快來幫忙！這個人到處教唆所有人跟我們民族、律法和這個地方作對，他甚至把希臘人也帶進聖殿，玷污了這神聖的地方！”
29	這是因為他們先前看見以弗所人特羅非摩和保羅一起在城裡，就以為保羅帶他進了聖殿。
30	於是全城騷動，民眾一齊跑來，抓住保羅，把他拉出聖殿外，殿門就立刻關起來了。
31	他們正想殺他的時候，有人報告步兵大隊的千夫長，說：“整個耶路撒冷都亂了！”
32	千夫長立刻帶著一些百夫長和士兵跑到他們那裡去，他們一看見千夫長和士兵，就停止毆打保羅。
33	於是千夫長上前抓住保羅，吩咐人用兩條鎖鏈捆住他，問他是甚麼人，做了甚麼事。
34	那時群眾有的叫這個，有的喊那個；因為騷亂，千夫長沒有辦法知道真相，就下令把保羅帶到軍營去。
35	保羅到了台階下面的時候，士兵把他抬起來，因為群眾猛擠，
36	而且有一群人跟在後面叫喊：“幹掉他！”
 	保羅為自己申辯
（徒9:1~22，26:9~18）
37	保羅快要被押到軍營的時候，對千夫長說：“我可以跟你說句話嗎？”千夫長說：“你懂希臘話嗎？
38	這樣，你不就是那個埃及人嗎？那人前些日子作亂，帶領了四千個殺手到荒野去。”
39	保羅說：“我是猶太人，是基利迦的大數人，並不是無名小城的公民，求你准我向民眾說幾句話。”
40	千夫長准許了，保羅就站在台階上，向民眾打了個手勢。大家安靜下來，保羅就用希伯來語講話，說：
第二十二章
1	“各位父老弟兄，請聽我現在向你們的申辯。”
2	他們聽見保羅用希伯來語向他們講話，就更加安靜了。保羅說：
3	“我是猶太人，生在基利迦的大數，卻在這城裡被撫養成人，在迦瑪列門下按照我們祖宗的律法嚴格受教，我為神熱心，就像你們大家今天一樣。
4	我曾經迫害屬於這道路的人，無論男女都捆綁起來，送進監獄，要把他們處死，
5	這是大祭司和全長老議會都可以給我作證的。我也從他們那裡得到了寫給同胞們的信，就去大馬士革，要把那裡的人捆綁起來，帶到耶路撒冷受罰。
 	保羅自述信主經過
6	“約在正午，我走近大馬士革的時候，忽然有一道強光從天上閃來，照亮我的四周，
7	我仆倒在地上，聽見有聲音對我說：‘掃羅，掃羅，你為甚麼迫害我？’
8	我回答：‘主啊，你是誰？’他說：‘我就是你所迫害的拿撒勒人耶穌。’
9	跟我在一起的人看見那光，卻聽不懂那位對我說話的聲音。
10	我說：‘主啊，我該做甚麼呢？’主說：‘起來，進大馬士革去，在那裡會有人把已經指派給你去做的事告訴你。’
11	我因為那道強光的榮耀，甚麼都看不見了，跟我在一起的人就牽著我的手，進了大馬士革。
12	“有一個叫哈納尼雅的人，是遵守律法的虔誠人，所有住在那裡的猶太人都稱讚他。
13	他來到我那裡，站在我旁邊對我說：‘掃羅弟兄，你復明吧！’就在那一刻，我復明了，就看見了他。
14	他又說：‘我們祖先的神選派了你，讓你明白他的旨意，看見那義者，聽見他口裡的聲音，
15	因為你將要作他的見證人，向萬人見證你所看見、所聽見的。
16	現在你還等甚麼呢？起來受洗，呼求他的名，洗淨你的罪吧！’
 	保羅奉差遣向外族人傳福音
17	“後來，我回到耶路撒冷，在聖殿裡禱告的時候，魂遊象外，
18	看見主對我說：‘快！趕快離開耶路撒冷，因為他們不會接受你為我所作的見證。’
19	我說：‘主啊，他們知道，我從前逐個會堂去，不斷把信你的人監禁起來，拷打他們，
20	並且你的見證人司提反受害流血的時候，我自己也站在旁邊贊同，還為那些殺他的人看守外袍。’
21	他對我說：‘你去吧，我要派你到遠方的外族人那裡去。’”
 	保羅與千夫長
22	眾人聽見他說到這句話，就高聲說：“這樣的人要從地上除掉！他不該活著！”
23	大家正在喊叫，拋開外袍，把塵土撒向空中的時候，
24	千夫長下令把保羅帶到軍營去，吩咐人用鞭刑拷問，好知道群眾為甚麼這樣不斷向他喊叫。
25	士兵將保羅四肢伸開，要鞭打他的時候，他就對站在旁邊的百夫長說：“你們鞭打一個還沒有定罪的羅馬公民，是合法的嗎？”
26	百夫長聽了，就去見千夫長，報告說：“你要怎麼辦呢？要知道，這個人是羅馬公民啊！”
27	千夫長就來問保羅：“告訴我，你是羅馬公民嗎？”他說：“是。”
28	千夫長說：“我花了一大筆錢，才取得羅馬籍。”保羅說：“我生下來就是。”
29	於是，那些要拷問他的人立刻離開他走了。千夫長知道他是羅馬公民，又因為捆綁過他，也就害怕起來。
 	保羅在公議會面前申辯
30	第二天，千夫長想要知道猶太人控告保羅的真相，就解開他，下令召集祭司長和全體公議會，然後把保羅帶下來，叫他站在他們面前。
第二十三章
1	保羅注視著公議會的人，說：“各位弟兄，直到今天，我在神面前行事為人都憑著美善的良心。”
2	哈納尼雅大祭司就吩咐站在他旁邊的人打保羅的嘴巴。
3	於是保羅對他說：“你這粉飾的牆啊，神要擊打你！你坐堂是要按律法審問我，現在你竟然違背律法吩咐人打我嗎？”
4	站在旁邊的人說：“你竟敢辱罵神的大祭司嗎？”
5	保羅說：“弟兄們，我不知道他是大祭司。的確，經上說：‘不可辱罵你人民的領袖。’”
6	保羅看出他們一部分是撒都該人，另一部分是法利賽人，就在公議會裡大聲說：“各位弟兄，我是法利賽人，也是法利賽人的子孫，我現在受審，是為了死人復活這個盼望！”
7	他說了這話，法利賽人和撒都該人就起了爭論，會眾分裂成兩派。
8	原來撒都該人說沒有復活——無論是復活為天使，還是復活為靈，法利賽人卻兩者都承認。
9	於是，會眾大嚷大鬧，有些法利賽派的經學家站起來激烈爭辯，說：“我們看不出這個人做過甚麼壞事，說不定有靈或天使對他說過話呢！”
10	爭論越來越激烈，千夫長怕保羅被他們撕碎了，就吩咐士兵下去，把他從人群中搶救出來，帶到軍營去。
11	當天晚上，主突然出現在保羅身邊，說：“你要鼓起勇氣，正如你在耶路撒冷鄭重地為我作見證，你也必須在羅馬作見證。”
 	猶太人設計謀害保羅
12	到了天亮，有些猶太人策劃了一個陰謀，並且賭咒發誓說，不殺保羅，就不吃不喝。
13	這樣同謀起誓的有四十多人。
14	他們來見那些祭司長和長老，說：“我們已經賭咒發誓，不殺保羅，就甚麼也不嘗。
15	現在你們和公議會要通知千夫長，帶保羅到你們這裡來，裝作要更確切地審查他的案件。我們已經預備好了，不等他走近，就把他殺了。”
16	但是，保羅的外甥聽見這埋伏的事，就到軍營去告訴保羅。
17	保羅請了一個百夫長來，說：“請你帶這個年輕人去見千夫長，他有事稟告。”
18	於是，百夫長帶保羅的外甥去見千夫長，說：“囚犯保羅請了我去，求我帶這個年輕人來見你，他有事要向你稟告。”
19	千夫長拉著他的手，走到一邊，私下問他：“你有甚麼事要向我報告？”
20	他說：“猶太人已經約好了，要求你明天把保羅帶到公議會裡去，裝作要更確切地審查他的案件。
21	請你不要聽他們，因為他們有四十多人正在埋伏起來等著保羅；他們已經賭咒發誓，不殺保羅，就不吃不喝。現在他們已經準備好了，只等你答應。”
22	於是千夫長囑咐那年輕人：“不要對任何人說，你把這事通報了我。”然後就打發他走了。
 	保羅被送交腓力斯
23	千夫長叫了兩個百夫長來，說：“預備兩百個步兵，七十個騎兵、兩百個長槍手，晚上九時往凱撒利亞去。
24	也要預備好牲口讓保羅騎上，護送他安全到達腓力斯總督那裡。”
25	千夫長寫了一封信，大意如下：
26	“克勞迪呂西亞問候總督腓力斯大人。
27	“這個人被猶太人抓住，正要被他們殺害。我得知他是羅馬公民，就帶兵去把他救出來。
28	我為要弄清楚猶太人控告他的理由，就帶他到他們的公議會那裡去。
29	我發現他被控告，是因為他們律法上的爭議，並沒有甚麼該死或該綁的罪名。
30	後來有人向我告發一個害他的陰謀，我就立刻把他送到你那裡去，並且吩咐原告到你面前去告他。”
31	於是士兵照著吩咐，把保羅提出來，連夜帶到安提帕底。
32	第二天，他們把保羅交給騎兵隊護送，就回軍營去了。
33	騎兵到了凱撒利亞，把信呈交給總督，又把保羅帶到他面前。
34	總督讀了信，問保羅是哪一省的人；知道他是基利迦人，
35	就說：“等到原告也來了，我會聽你申辯。”於是，總督吩咐人把保羅拘留在希律的王府裡。
第二十四章
 	保羅受審
1	過了五天，哈納尼雅大祭司帶著一些長老和一個叫特土羅的律師來了，他們向總督控告保羅。
2	保羅被傳來，特土羅就開始控訴他說：“腓力斯大人，因為你，我們大享太平；因為你的遠見，本國大行改革；
3	我們時時處處都滿懷感激。
4	現在我不想多煩擾你，只求你寬容一下，聽我們講幾句話。
5	我們看這個人就像瘟疫一樣，他煽動普天下猶太人作亂，又是拿撒勒派的一個首領。
6	他還企圖玷污聖殿，我們就把他抓住。
7	（有些較後期的抄本加上本段經文：“6b我們想按照我們的律法審問他。7可是千夫長呂西亞來了，用武力把他從我們手裡搶走，8a還吩咐原告到你這裡來。”）
8	你親自審問之後，就可以明白我們告他的一切事了。”
9	猶太人也都跟他一同控告保羅，聲稱事情確實是這樣。
 	保羅在腓力斯面前申辯
10	總督向保羅點頭示意，叫他說話，於是保羅說：“我知道你在我國審案多年，所以樂意為自己申辯。
11	你可以查清楚，自從我上耶路撒冷去禮拜，到現在還沒有超過十二天；
12	無論在聖殿裡、會堂裡或城裡，他們都沒有看見我跟人爭論或煽動群眾作亂，
13	也不能向你證明他們現在控告我的事。
14	不過這一點我得向你承認，我奉行他們稱為異端的這道路來敬拜我祖先的神，並且相信律法和先知所記的一切。
15	我對神所存的盼望，也是他們自己所期待的，就是義人和不義的人都要復活；
16	因此，我自己盡力對神對人都存無虧的良心。
17	過了好幾年，我帶著捐款回來賙濟我的同胞，並且獻上供物，
18	正獻的時候，他們看見我在聖殿裡，那時我已經完成了潔淨禮，並沒有和一大群人在一起，也沒有生亂。
19	可是，有些從亞西亞來的猶太人——那些人如果有事要控告我，就應該到你面前來控告，
20	要不然，這裡的人自己應該說出來，當我站在公議會中受審的時候，他們找出我有甚麼罪行——
21	除非是指我站在他們當中所喊的那一句話：‘我今天在你們面前受審，是為了死人復活的事。’”
22	因為腓力斯對這道路有較為準確的認識，就暫停審訊，說：“等千夫長呂西亞來了，再裁定你們的事。”
23	於是，他吩咐百夫長看守保羅，但要寬待他，不可阻止親友來照料他。
 	腓力斯聽道後害怕起來
24	過了幾天，腓力斯和他的猶太妻子德露茜拉一起來到，他又傳見保羅，聽他談論關於基督耶穌的信仰。
25	保羅講到公義、自制和將來的懲罰時，腓力斯就害怕起來，說：“你先離去吧，等我有空再叫你來。”
26	同時，他也希望保羅送錢給他，所以經常傳見他，和他談話。
27	過了兩年，腓力斯由波求非斯圖繼任；腓力斯為了討好猶太人，就把保羅留在監裡。
第二十五章
 	保羅上訴凱撒
1	非斯圖到省裡上任，三天之後就從凱撒利亞上耶路撒冷去。
2	祭司長和猶太人的一些首領，到他面前控告保羅。他們又請求非斯圖
3	恩准他們對付保羅，把保羅傳召到耶路撒冷來，他們好埋伏在路上殺死他。
4	於是非斯圖回答：“保羅現正拘留在凱撒利亞，我自己也快要回到那裡去。”
5	又說：“這樣，你們當中有權的人和我一起下去吧！如果那人有甚麼過錯，就可以告他。”
