創世記
第一章
 	神創造天地萬物
15	“我主，請聽我說，一塊值四百舍客勒銀子的田，在你我之間，算得甚麼呢？你去安葬亡妻吧。”
16	亞伯拉罕同意以弗崙說的價銀，就照著他在赫特人面前所說的，按商人通用的重量標準，稱了四百舍客勒銀子給以弗崙。
17	於是，以弗崙在幔利附近麥比拉的那塊田，包括那塊田和其中那個洞、田裡和四周所有樹木，
18	成為了亞伯拉罕的財產，在所有來到城門口的赫特人眼前完成交易。
19	這事以後，亞伯拉罕把妻子莎拉安葬在幔利附近麥比拉田間的洞裡；幔利就是希伯崙，在迦南地。
20	這樣，那塊田和其中那個洞，就從赫特人歸給了亞伯拉罕，成為他用作墳墓的產業。
第二十四章
 	亞伯拉罕差遣僕人為以撒娶妻
1	亞伯拉罕年紀老邁，耶和華在一切事上都賜福給他。
2	亞伯拉罕對家裡年紀最長、管理他所有產業的那個僕人說：“請把你的手放在我大腿底下，
3	我要你指著耶和華——天的神、地的神起誓，你不會為我的兒子娶迦南人的女子為妻，雖然我住在他們當中，
4	你卻要到我的出生地那裡，為我的兒子以撒娶妻。”
5	僕人對亞伯拉罕說：“假如那個女子不願跟我來這片土地，我必須把你兒子帶回去，回到你離開了的那片土地嗎？”
6	亞伯拉罕對他說：“你要謹慎，不可帶我的兒子回到那裡去。
7	耶和華天上的神曾經領我離開我的父家和我出生之地，曾經對我說話，向我起誓，說‘我要把這片土地賜給你的後裔’，這位神會差派他的使者走在你前面，你就可以從那地方為我的兒子娶妻。
8	如果那個女子不願跟你來，你就無須為我叫你起的這個誓承擔責任，只是你不可帶我的兒子回到那裡去！”
9	於是，僕人把手放在主人亞伯拉罕的大腿下，為這件事向他起誓。
10	這個僕人從主人的駱駝群裡選取了十匹駱駝，帶著主人各種上好的禮物，起程往幼發拉底河流域的亞蘭去，到了拿鶴的城。
11	黃昏時分，女子們出來打水的時候，僕人就讓駱駝跪在城外的水井旁邊，
12	然後說：“耶和華我主人亞伯拉罕的神啊，求你今天使我成功，求你以忠誠之愛對待我主人亞伯拉罕吧！
13	我現在站在水泉旁邊，城內居民的女兒正出來打水。
14	我會對一個少女說：‘請你放下水瓶來，讓我喝點水。’如果她說‘請喝，我也打水給你的駱駝喝’，她——但願她就是你已經選定給你僕人以撒的。這樣，我就知道你以忠誠之愛對待我主人了。”
15	話還沒有說完，利百加就出來了！利百加是彼土利生的，彼土利是亞伯拉罕兄弟拿鶴的妻子蜜迦的兒子。利百加肩頭上扛著水瓶。
16	這個少女容貌非常美麗，是個處女，還沒有男人和她親近。她下到水泉旁，裝滿水瓶，又上來。
17	僕人跑去見她，說：“請你把瓶裡的水給我喝一點。”
18	少女說：“我主請喝。”就急忙把水瓶拿下來，托在手上給他喝。
19	少女給他喝完，又說：“我也為你的駱駝打水，直到牠們都喝足。”
20	於是，她急忙把瓶裡的水倒在槽裡，再跑到井旁打水，給他所有的駱駝打水喝。
21	那人一句話也不說，注視著她，要知道耶和華是不是使他的道路亨通。
22	駱駝喝足了，那人就拿出一個金環，重一比加，又拿兩個金鐲給她雙手，重十舍客勒，
23	對她說：“你是誰的女兒？請告訴我。你的父家裡有地方讓我們過夜嗎？”
24	她對那人說：“我是彼土利的女兒，彼土利是蜜迦的兒子，是蜜迦給拿鶴生的。”
25	她又說：“草料、飼料我們都有很多，也有過夜的地方。”
26	那人就俯伏敬拜耶和華，
27	說：“耶和華我主人亞伯拉罕的神配受稱頌，因為他沒有丟棄他對我主人的忠誠之愛和信實！而我有耶和華一路引導，使我來到我主人的親人家裡。”
28	那個少女就跑回去，把這些事都告訴了她母親家裡的人。
29	利百加有個哥哥，名叫拉班。拉班跑出去，到水泉找那人——
30	他一看見妹妹的環子和她雙手的鐲子，又聽了妹妹利百加說“那人如此這般對我說”，就去找那人。那人正好還在水泉那裡，站在駱駝旁邊。
31	拉班就說：“你這位蒙耶和華賜福的人啊，請進來吧！為甚麼站在外面呢？我已經收拾好了房間，也為駱駝預備了地方。”
32	那人就進到拉班家裡，卸了駱駝。有人拿草料和飼料給駱駝吃，又拿水給那人和與他同來的人洗腳，
33	然後把食物擺到他面前讓他吃，但是他說：“我不吃，等我先把我的事情說完才吃。”拉班說：“請說。”
34	那人說：“我是亞伯拉罕的僕人。
35	耶和華厚厚地賜福我主人，他就興旺起來；耶和華賜給他羊群、牛群、銀子、金子、男女奴僕、駱駝和驢。
36	我主人的妻子莎拉年老之後，給我主人生了一個兒子。我主人也把他的一切都給了這個兒子。
37	我主人要我起誓，說：‘你不可為我的兒子娶迦南人的女子為妻，雖然我住在他們的地。
38	你只可以到我父家、我家族那裡去，為我的兒子娶妻。’
39	我對主人說：‘假如那個女子不跟我來呢？’
40	他對我說：‘我行在耶和華面前，這位耶和華會差派他的使者和你一起，使你的道路亨通，你就可以從我家族、我父家為我的兒子娶妻。
41	只有這樣你才無須為我叫你發的咒誓承擔責任：如果你到了我的家族那裡，若是他們不把女子交給你，你就無須為我叫你發的咒誓承擔責任。’
42	我今天到了水泉那裡，說：‘耶和華我主人亞伯拉罕的神啊，如果你確實願意使我所走的道路亨通，
43	那麼，我現在站在水泉旁邊，我會對一個出來打水的少女說：“請你把瓶裡的水給我喝一點。”
44	如果她對我說“你請喝，我也為你的駱駝打水”，但願她就是耶和華已經選定給我主人兒子的妻子。’
45	我心裡的話還沒有說完，利百加就出來了！她肩頭扛著水瓶，下到水泉旁打水。我就對她說：‘請給我點水喝。’
46	她就急忙從肩上把水瓶拿下來，說：‘請喝，我也打水給你的駱駝喝。’我喝了，她也打水給我的駱駝喝。
47	我就問她說：‘你是誰的女兒？’她說：‘我是彼土利的女兒，彼土利是拿鶴的兒子，是蜜迦給他生的。’我就把環子戴在她鼻子上，把鐲子戴在她雙手上。
48	然後我俯伏敬拜耶和華，稱頌耶和華我主人亞伯拉罕的神，因為他引導我走他信實的路，把我主人親人的女兒，帶給我主人的兒子。
49	現在你們如果確實願意以忠誠之愛和信實對待我的主人，就請告訴我；如果不願意，也請告訴我，使我可以另作打算。”
50	拉班和彼土利回答說：“既然這事出於耶和華，我們也就不能對你說甚麼了。
51	利百加就在你面前，你帶她去吧，使她照著耶和華所指示的，做你主人兒子的妻子。”
52	亞伯拉罕的僕人聽見他們這些話，就伏地敬拜耶和華。
53	那僕人拿出金器、銀器、衣服送給利百加，又把貴重的禮物送給她哥哥和母親。
54	然後，他和同來的人才吃喝，住了一夜。他們早晨起來，那僕人就說：“請打發我回到我主人那裡去吧！”
55	利百加的哥哥和母親說：“讓這女孩子和我們一起多住幾天，或者十天，然後再走吧。”
56	他對他們說：“你們別耽擱我吧，既然耶和華已經使我的道路亨通，你們就打發我回到我主人那裡去吧！”
57	他們說：“我們把女孩子叫來，問問她的意思。”
58	他們把利百加叫來，對她說：“你現在就與這人同去嗎？”她說：“我去。”
59	於是，他們送走妹妹利百加、她的乳母、亞伯拉罕的僕人以及和他同來的人。
60	他們給利百加祝福，對她說：“我們的妹妹呀，願你成為千千萬萬！願你的後裔佔領那些恨他之人的城門！”
61	利百加和她的使女們起來，騎上駱駝，跟著那人走；那僕人就帶著利百加走。
 	以撒娶利百加
62	那時，以撒從那口名叫永活者看顧我的井回來；他住在南地。
63	接近黃昏的時候，以撒出來在田間默想。他舉目觀看，看見一隊駱駝正走過來。
64	利百加舉目看見了以撒，就下了駱駝，
65	對那僕人說：“在田間走來迎接我們的這個人是誰？”那僕人說：“他就是我的主人。”利百加就拿面紗蒙臉。
66	那僕人把所做的一切事，都告訴以撒。
67	以撒領利百加進了他母親莎拉的帳篷，娶了利百加，她就作了以撒的妻子。以撒愛利百加。自從以撒的母親去世後，他這才得了安慰。
第二十五章
 	亞伯拉罕娶基桃拉
（代上1:32~33）
1	亞伯拉罕又娶了一個妻子，名叫基桃拉。
2	基桃拉給他生了辛覽、約善、米但、米甸、伊施巴、書亞。
3	約善生了示巴和底但，而底但的子孫是亞書利人、利都示人、利烏米人。
4	米甸的兒子是以法、以弗、哈諾、亞比達、以勒達。這些人都是基桃拉的子孫。
5	亞伯拉罕把自己的一切都給了以撒。
6	至於兩個妾給亞伯拉罕生的兒子，亞伯拉罕也給他們禮物。他趁自己還活著的時候，打發他們離開他的兒子以撒，向東走，往東方之地去。
 	亞伯拉罕逝世
7	這是亞伯拉罕一生的年日，他享壽一百七十五歲。
8	亞伯拉罕安享天年，長壽美滿，然後壽終而死，歸到先人那裡。
9	他的兒子以撒和以實瑪利把他安葬在麥比拉洞。這個洞在赫特人瑣轄的兒子以弗崙的田裡，在幔利附近，
10	就是亞伯拉罕從赫特人那裡買來的那塊田。亞伯拉罕和他妻子莎拉都安葬在那裡。
11	亞伯拉罕死後，神賜福給他的兒子以撒。以撒住在永活者看顧我之井附近。
 	以實瑪利及其後代
（代上1:28~31）
12	以下是亞伯拉罕的兒子以實瑪利及其後代的事：他是莎拉的婢女埃及人夏甲給亞伯拉罕生的。
13	以實瑪利兒子們的名字，按著出生次序的名字如下，各有後代：以實瑪利的長子是尼拜約，其餘是基達、押德別、米比杉、
14	米施瑪、度瑪、瑪撒、
15	哈達、提瑪、伊突、拿非施、基底瑪。
16	這些是以實瑪利的兒子，這些是他們的名字，他們在各自的村莊、各自的營地，作十二個部族的族長。
17	以實瑪利一生的年歲是一百三十七歲；他壽終而死，歸到先人那裡。
18	他子孫住的地區是由哈腓拉起，到埃及附近的書珥，直到亞述；他居住在他所有兄弟旁邊。
 	以撒及其後代
19	以下是亞伯拉罕的兒子以撒及其後代的事：亞伯拉罕生以撒。
20	以撒娶利百加為妻的時候四十歲。利百加是巴旦亞蘭的亞蘭人彼土利的女兒，是亞蘭人拉班的妹妹。
21	以撒因為妻子不生育，就為她禱求耶和華。耶和華應允他的禱求，他的妻子利百加就懷孕。
22	兒子們在她腹中相爭，她就說：“如果是這樣，我這是何苦呢？”她就去求問耶和華。
23	耶和華對她說：“兩國在你腹中，兩族要從你身上出來、分開；一族會比另一族強，大的將服侍小的。”
24	生產的那天到了，她腹中果然是雙胞胎。
25	先出來那個是紅的，全身像穿著毛衣一樣，他們就給他起名叫以掃。
26	隨後，他的弟弟也出來，手抓住以掃的腳跟；因此給他起名叫雅各。利百加生他們的時候，以撒六十歲。
 	以掃出賣長子名分
27	兩個孩子漸漸長大；以掃善於打獵，是個喜歡田野的人；雅各為人安靜，常常留在帳篷裡。
28	以撒愛以掃，因為他常吃以掃的野味；利百加卻愛雅各。
29	有一次，雅各正在煮羹，以掃從田野回來，餓得發昏。
30	以掃對雅各說：“求你讓我吞下這紅紅的東西吧，因為我餓得發昏了！”因此，以掃的名字又叫伊東。
31	雅各說：“你要先把你的長子名分賣給我。”
32	以掃說：“你看，我快死了，這長子名分對我有甚麼用呢？”
33	雅各說：“你先向我起誓吧。”以掃就向他起誓，把自己的長子名分賣給了雅各。
34	於是，雅各給以掃餅和小扁豆羹；以掃吃了喝了，站起來走了。以掃就這樣輕視了自己的長子名分。
第二十六章
 	以撒和亞比米勒
1	後來，那地發生饑荒——不是從前在亞伯拉罕的日子那次饑荒——以撒就往基拉耳去，到非利士王亞比米勒那裡。
2	那時耶和華向以撒顯現，說：“你不要下到埃及去，而要住在我告訴你的地。
3	你要寄居在這地，我會與你同在，並且賜福給你，因為我要把所有這些地都賜給你和你的後裔，履行我向你父親亞伯拉罕所起的誓。
4	我要增多你的後裔，像天上的繁星；我要把所有這些地都賜給你的後裔；地上萬國都會藉著你的後裔說自己蒙福。
5	這是因為亞伯拉罕聽從我的話，遵守我的訓示、誡命、規定和指示。”
6	於是，以撒住在基拉耳。
7	那個地方的人問起他的妻子，他就說“她是我妹妹”，因為不敢說“她是我的妻子”；他想：“恐怕這個地方的人，為了利百加而殺我，因為她容貌美麗。”
8	以撒在那裡住了很久。有一天，非利士人的王亞比米勒憑窗俯望，正好看見以撒和妻子利百加親熱。
9	亞比米勒於是把以撒召來，說：“她明明是你的妻子！你怎麼說‘她是我妹妹’呢？”以撒對他說：“因為我想：‘恐怕我因為她而喪命。’”
10	亞比米勒說：“你怎麼會對我們做出這樣的事？民中有人差點就要和你的妻子睡了！要是這樣，你就使我們承受罪果！”
11	於是，亞比米勒命令所有人民，說：“凡侵犯這個人或他妻子的，必須處死！”
12	以撒在那地播種，那一年豐收百倍，因為耶和華賜福給他。
13	這人就日漸昌盛，越來越富有，成了大財主。
14	他擁有羊群、牛群和很多奴僕，非利士人就嫉妒他，
15	把他父親僕人以前所挖的井全都用泥土填塞了；那些僕人挖井的時候，他父親亞伯拉罕還在世。
16	亞比米勒對以撒說：“你離開我們吧，因為你比我們強大得多。”
17	於是以撒離開那裡，在基拉耳溪床紮營，住在那裡。
18	以撒重新挖開那些水井，就是他父親亞伯拉罕在世時僕人所挖的，因為亞伯拉罕死後，非利士人把那些井塞住了；以撒沿用父親起的名字來稱呼那些井。
19	以撒的僕人又在溪床間挖掘，在那裡找到一口活水井。
20	基拉耳的牧人跟以撒的牧人爭論，說：“這水是我們的！”以撒就給那口井起名叫相爭，因為他們跟他相爭。
21	以撒的僕人挖了另一口井，他們為這口井也爭論起來，以撒就給這井起名叫敵對。
22	以撒從那裡起行，挖了另一口井；他們不再為這井爭論了，他就給這口井起名叫寬廣，說：“現在耶和華給了我們寬廣的地方，我們會在這片土地上繁衍起來。”
23	以撒從那裡上別示巴。
24	那天晚上，耶和華向他顯現，說：“我是你父親亞伯拉罕的神；你不要害怕，因為我與你同在；為了我僕人亞伯拉罕的緣故，我要賜福給你，使你的後裔增多。”
25	以撒就在那裡築了一座祭壇，呼求耶和華的名；又在那裡搭起帳篷。以撒的僕人在那裡掘了一口井。
26	亞比米勒從基拉耳來找他，亞比米勒的好友亞戶撒、他的元帥非各也同來。
27	以撒對他們說：“你們既然恨我，趕我離開你們，為甚麼又來找我？”
28	他們說：“我們確實看見耶和華與你同在，因此我們想：‘我們和你雙方要有個咒誓。’讓我們和你立約吧；
29	你不要傷害我們，正如我們從來沒有侵犯你，只有善待你，曾經讓你平平安安地離開。現在你是蒙耶和華賜福的了。”
30	以撒就為他們擺設宴席，他們一起吃喝。
31	他們清早起來，彼此對弟兄起誓。然後以撒送他們離開，他們平平安安地由他那裡走了。
32	那一天，以撒的僕人來報告他們挖那口井的事，對他說：“我們找到水了。”
33	以撒給那口井起名叫士巴，因此那座城名叫別示巴，直到今天。
 	以掃娶二妻
34	以掃四十歲的時候，娶了赫特人備利的女兒猶蒂和赫特人以倫的女兒芭詩瑪為妻。
35	她們常使以撒和利百加傷心難過。
第二十七章
 	雅各騙取父親祝福
1	以撒年老，眼睛昏花，看不見東西了；他叫來大兒子以掃，對他說：“我兒！”以掃對他說：“我在這裡聽著。”
2	以撒說：“聽著！現在我已經老了，不知道甚麼時候會死。
3	你現在拿你的弓箭等武器，出到田野去為我打些野味來！
4	照我所愛的，給我預備美食，拿來給我吃，好讓我死前傾盡心力給你祝福。”
5	以撒對他兒子以掃說話的時候，利百加在聽。以掃到田野打獵，要帶些野味回來，
6	利百加就對她兒子雅各說：“你知道嗎？我聽見你父親對你的哥哥以掃這樣說：
7	‘拿野味給我，給我預備美食，我吃了，就在死前在耶和華面前給你祝福。’
8	我兒，現在你要聽從我的話，照我吩咐你的去做。
9	你快去羊群那裡，給我牽兩隻最好的小山羊來！我會照你父親所愛的，用來給他預備美食。
10	然後你要拿去給你父親吃，好讓他在死前給你祝福。”
11	雅各對母親利百加說：“但是哥哥以掃渾身是毛，我卻是皮膚光滑。
12	說不定父親會摸我，那樣他就會認為我是在作弄他，那時我就自招詛咒，而不是得到祝福了。”
13	他母親對他說：“我兒，你的詛咒由我承擔！你只管聽從我的話，去，牽羊給我！”
14	他就去，牽了羊來，交給母親，他母親就照他父親所愛的，預備美食。
15	大兒子以掃的珍貴衣服保存在利百加家裡，利百加拿出來給小兒子雅各穿上，
16	又用小山羊的皮，包住雅各雙手和脖子上光滑的地方。
17	然後，她把自己預備好的美食和餅，放在兒子雅各手裡。
18	雅各來到父親那裡，說：“我父啊！”以撒說：“我在這裡聽著，我兒，你是誰？”
19	雅各對父親說：“我是你的長子以掃，我已經照你對我說的做了。請坐起來，吃我的野味，好讓你傾盡心力給我祝福。”
20	以撒對兒子說：“我兒，你怎麼這樣快就找到野味了？”雅各說：“因為耶和華你的神使我成功。”
21	以撒對雅各說：“我兒，你近前來！讓我摸摸你，看看你是不是我的兒子以掃。”
22	雅各就走近他父親以撒，以撒摸著他，說：“聲音是雅各的聲音，手卻是以掃的手。”
23	以撒辨認不出他是誰，因為他的手上有毛，就像哥哥以掃的手一樣，就給他祝福。
24	以撒說：“你真是我的兒子以掃嗎？”他說：“我是。”
25	以撒說：“把食物遞給我吧，我吃了我兒子的野味，我就傾盡心力給你祝福。”雅各遞給他，他就吃了；又拿酒給他，他喝了。
26	他父親以撒對他說：“我兒，過來！親吻我吧。”
27	他就上前親吻父親；他父親聞到他衣服上的香氣，就給他祝福，說：“啊，我兒的香氣，如同耶和華賜福的田野的香氣！
28	願神賜給你天上甘露、地上豐盛、許多穀物新酒！
29	萬民要服侍你，萬族要向你下拜！作你親族的主人吧！你母親的子孫要向你下拜！詛咒你的人，必受詛咒，祝福你的人，必蒙賜福！”
 	以掃懇求父親祝福
30	以撒給雅各祝福完畢，雅各剛剛從父親以撒那裡出來，他哥哥以掃就打完獵回來了。
31	他也預備了美食，拿來給父親，對父親說：“我父，請起來，吃兒子的野味，好傾盡心力給我祝福。”
32	父親以撒對他說：“你是誰？”他說：“我是你的兒子，你的長子以掃。”
33	以撒就大大發抖，顫抖不已，說：“那麼，剛才去打獵、拿野味給我的是誰？你來之前我已經全吃了，也給他祝福了，他將來必定蒙福！”
34	以掃聽了父親的話就大聲喊叫，慘叫不已，對父親說：“我父，求求你祝福我，也祝福我啊！”
35	以撒說：“你弟弟已經前來，用詭計把你的祝福拿走了。”
36	以掃說：“他豈不是名叫雅各嗎？他欺詐了我兩次！我的長子名分，他拿走了；現在他竟然又拿走我的祝福！”以掃又說：“你一點祝福都沒有留給我嗎？”
37	以撒回答以掃說：“啊，我已經立他為你的主人，把他所有的親族都給他作僕人，並且讓他有穀物和新酒維生。那麼，我兒，我還能為你做甚麼呢？”
38	以掃對父親說：“我父，你只有一個祝福嗎？我父，求求你祝福我，也祝福我啊！”以掃又放聲大哭。
39	他父親以撒回答他說：“啊，你住的地方會遠離地上的豐盛，遠離天上的甘露。
40	倚靠刀劍，你才可活命，你會服侍你的弟弟；到你躁動的時候，你就會掙脫他加諸你脖子的軛。”
 	以掃恨雅各
41	以掃因為父親給雅各的祝福，就對雅各懷恨；以掃心裡想：“為父親守喪的日子近了，到時候我要殺了弟弟雅各！”
42	有人把利百加大兒子以掃的話告訴利百加，她就派人把小兒子雅各叫來，對他說：“你知道嗎？你哥哥以掃想要殺你解恨！
43	我兒，現在你要聽從我的話，起來，你要逃到哈蘭我哥哥拉班那裡去，
44	跟他同住幾天，等到你哥哥的怒火消了。
45	等你哥哥對你的怒氣消了，忘記了你對他做的事，我就會派人把你從那裡接回來。為甚麼要我在同一天裡失去你們兩個呢？”
46	然後利百加對以撒說：“對著這些赫特人女人，我活得厭煩了！如果雅各也找這地的女人，娶這樣的赫特人女人為妻，那我活著還有甚麼意思呢？”
第二十八章
 	以撒打發雅各投靠拉班
1	於是，以撒把雅各召來，給他祝福，並且吩咐他說：“你不可娶迦南女子為妻。
2	起來，往巴旦亞蘭你外祖父彼土利的家裡去。在那裡，在你舅父拉班的女兒之中，為自己娶一個為妻。
3	願全能的神賜福給你，使你繁衍、增多，成為一個包含多個民族的群體！
4	願他把亞伯拉罕的福賜給你——給你，也同樣給你的後裔，使你得到你寄居的地作為產業，就是神賜給亞伯拉罕的。”
5	於是，以撒送走雅各，雅各就往巴旦亞蘭去，到了亞蘭人彼土利的兒子拉班那裡。拉班就是雅各和以掃的母親利百加的哥哥。
6	以掃知道以撒給雅各祝福，並且打發他到巴旦亞蘭去，在那裡娶妻，而且祝福的時候吩咐他說“你不可娶迦南女子為妻”；
7	又知道雅各聽從了父母，到巴旦亞蘭去；
8	以掃就看出，父親以撒厭惡迦南女子。
9	於是，以掃到以實瑪利那裡去，在已有的兩個妻子之外，娶瑪哈拉為妻；瑪哈拉是亞伯拉罕的兒子以實瑪利的女兒，是尼拜約的妹妹。
 	神的居所——伯特利
10	雅各離開別示巴，前往哈蘭，
11	路經某一個地方，因為已經日落，就在那裡過夜。他搬了那個地方的石頭，放在頭旁邊，就在那個地方睡下。
12	他做了一個夢，夢見一個梯子向地上放，立起，頂連著天；又夢見神的眾使者在梯子上，上去下來；
13	還夢見耶和華站在他旁邊，說：“我是耶和華你祖父亞伯拉罕的神，也是以撒的神；你現在躺著的這片土地，我要賜給你和你的後裔。
14	你的後裔會像地上的塵沙那麼多；你會向西東北南擴展；地上萬族都會藉著你和你的後裔蒙福。
15	要知道，我與你同在，你無論到哪裡去，我都會保護你；我會領你回到這地，因為我由始至終都不會離棄你，而會實現我對你說的話！”
16	雅各一覺醒來，說：“耶和華真的在這個地方啊，我竟然不知道！”
17	他就懼怕，說：“這個地方多麼可畏！這不是別的，而是神的居所！這是天的門！”
18	雅各清早起來，拿了他放在頭旁邊的一塊石頭，立作石碑，在碑頂澆油。
19	他就給那個地方起名叫伯特利，儘管那個鎮原名叫路斯。
20	於是，雅各許了一個願說：“如果神與我同在，在我正在走的這條路上保護我，賜我食物吃，給我衣服穿，
21	並且使我平安回到我的父家，我就以耶和華為我的神，
22	我立作石碑的這塊石頭，要成為神的居所；你將來賜給我的一切，我必定把十分之一獻給你。”
第二十九章
 	雅各到達巴旦亞蘭
1	雅各邁開步伐，往東方人的地方去。
2	他觀看，看見田野裡有一口井，又看見那裡有三群羊躺臥在井旁。（因為人慣常用那口井裡的水給羊群喝；井口上有一塊大石頭。
3	通常，所有羊群都聚集到這裡，然後大家把井口的石頭滾開，打水給羊群喝，再把石頭放回井口原處。）
4	雅各對牧人說：“弟兄們，你們是哪裡來的？”他們說：“我們來自哈蘭。”
5	他對他們說：“你們認識拿鶴的孫子拉班嗎？”他們說：“我們認識。”
6	雅各對他們說：“他安好嗎？”他們說：“他安好。你看，他的女兒拉潔領著羊群來了。”
7	雅各說：“看，現在太陽還高，不是聚攏牲畜的時候；你們打水給羊群喝，再去牧放吧！”
8	他們說：“不行，我們必須等到所有羊群都到齊，大家把井口的石頭移開，我們才能打水給羊群喝。”
9	雅各還在跟他們說話的時候，拉潔領著她父親的羊群來了；拉潔是個牧羊女。
10	雅各看見舅父拉班的女兒拉潔和舅父拉班的羊群，雅各就走上前移開井口的石頭，打水給舅父拉班的羊群喝。
11	雅各親吻拉潔，放聲大哭。
12	雅各告訴拉潔，自己是她父親的親人，是利百加的兒子。拉潔就跑去告訴她父親。
13	拉班聽說妹妹的兒子雅各來了，就跑去迎接他，擁抱他，親吻他，把他領到自己家裡。雅各就把一切事情都告訴拉班。
14	拉班對他說：“你真是我的骨肉！”雅各就和拉班同住了一個月。
 	雅各娶拉班兩個女兒為妻
15	拉班對雅各說：“就因為你是我的親人，你就要白白地為我工作嗎？告訴我，你要甚麼報酬？”
16	拉班有兩個女兒；大的名叫莉亞，小的名叫拉潔。
17	莉亞眼睛嬌怯，拉潔則身材樣貌都好看。
18	雅各愛拉潔，就說：“我願為你工作七年，好得到你的小女兒拉潔。”
19	拉班說：“我把她給你，比給別人好，你就跟我同住吧！”
20	於是，雅各為拉潔而工作了七年，但是在他眼裡彷彿只是幾天，因為他愛拉潔。
21	雅各對拉班說：“我的期限已經滿了，請把我的妻子給我，我好和她行房。”
22	拉班就招聚那個地方所有的人，擺設宴席。
23	到了晚上，拉班把女兒莉亞帶來給雅各，雅各就和她行房。
24	（拉班又把自己的婢女慈帕給了女兒莉亞作婢女。）
25	到了早晨，雅各一看，竟然是莉亞！就對拉班說：“你對我這樣做，是怎麼回事呢？我在你這裡工作，是為了拉潔啊！你為甚麼騙我？”
26	拉班說：“不先嫁長女就嫁幼女，在我們這個地方是絕對不該這樣做的。
27	你要跟這一個過完七天婚禮期，然後我們也會把那一個給你，條件是你要再為我工作七年。”
28	雅各就這樣做。他跟這一個過完七天婚禮期，拉班就把女兒拉潔給他為妻。
29	（拉班又把自己的婢女碧賀給了女兒拉潔作婢女。）
30	雅各也和拉潔行房，而且他愛拉潔，不愛莉亞。於是，他又為拉班工作了七年。
 	莉亞連續為雅各生四個兒子
31	耶和華見莉亞被厭惡，就使她生育，拉潔則不生育。
32	莉亞懷孕，生了一個兒子，她就給他起名叫呂便，意思是：“耶和華看到我的苦情，現在丈夫一定會愛我。”
33	她又懷孕，生了一個兒子，就說：“耶和華因為聽到我被厭惡，所以又賜給我這個。”於是她給他起名叫西緬。
34	她又懷孕，生了一個兒子，就說：“這一次，丈夫要依戀我了，因為我已經給他生了三個兒子。”因此孩子給起名叫利未。
35	她又懷孕，生了一個兒子，就說：“這一次，我要讚美耶和華！”因此她給他起名叫猶大。之後她停止了生育。
第三十章
 	拉潔與莉亞爭寵
1	拉潔見自己沒有給雅各生孩子，拉潔就嫉妒姐姐。她對雅各說：“你要給我兒子！不然，我要死了！”
2	雅各就對拉潔發火，說：“我能代替神嗎？不讓你懷胎的是他！”
3	拉潔說：“我的女奴碧賀在這裡，你和她行房吧，使她生子歸到我的膝下；藉著她，我自己也會像姐姐一樣得到兒子。”
4	於是，拉潔把自己的婢女碧賀給了雅各為妻，雅各就和她行房。
5	碧賀懷孕，給雅各生了一個兒子。
6	拉潔說：“神為我主持公道，也垂聽了我的話，賜給我一個兒子。”所以她給他起名叫但。
7	拉潔的婢女碧賀又懷孕，給雅各生了第二個兒子。
8	拉潔說：“我和姐姐連番激鬥，我得勝了！”於是她給他起名叫拿弗他利。
9	莉亞見自己停止了生育，就拿自己的婢女慈帕給了雅各為妻。
10	莉亞的婢女慈帕給雅各生了一個兒子。
11	莉亞說：“真幸運！”於是她給他起名叫迦得。
12	莉亞的婢女慈帕給雅各生了第二個兒子。
13	莉亞說：“我真幸福啊！女孩子都會說我很幸福！”於是她給他起名叫亞設。
14	到了收割小麥的時節，呂便出去，在田野裡找到一些愛情果，就拿來給母親莉亞。拉潔對莉亞說：“請把你兒子的愛情果分給我一些。”
15	莉亞對她說：“你搶了我的丈夫還算小事嗎？你還要搶我兒子的愛情果嗎？”拉潔說：“這樣吧，今夜就讓他和你睡，來交換你兒子的愛情果。”
16	晚上，雅各從田野回來，莉亞出去迎接他，說：“你要和我行房，因為我確實用我兒子的愛情果作報酬雇了你。”那一夜，雅各就和她睡。
17	神垂聽了莉亞，她就懷孕，給雅各生了第五個兒子。
18	莉亞說：“神給我報酬，因為我把我的婢女給了丈夫。”於是她給兒子起名叫以薩迦。
19	莉亞又懷孕，給雅各生了第六個兒子。
20	莉亞說：“神把美好的禮物送給我，這一次丈夫要重視我了，因為我給他生了六個兒子。”於是她給他起名叫西布倫。
21	後來她生了一個女兒，給她起名叫蒂娜。
22	神顧念拉潔，神垂聽了她，使她能生育。
23	她就懷孕，生了一個兒子，說：“神除去了我的恥辱！”
24	於是她給他起名叫約瑟，說：“願耶和華再增添給我一個兒子。”
 	雅各與拉班約定工價
25	拉潔生了約瑟以後，雅各對拉班說：“請你讓我走，我好返回家鄉。
26	我為你工作而得到的妻子和兒女，請你給我，好讓我走；我怎樣為你工作，你是知道的。”
27	拉班對他說：“如果我在你眼前蒙恩，請你不要走，我占卜得知，耶和華是為了你的緣故才賜福給我的。”
28	他又說：“我該給你甚麼工錢，你決定吧，我會給你。”
29	雅各對他說：“我怎樣為你工作，你的牲畜在我照顧下怎麼樣，你是知道的。
30	我沒來之前，你所擁有的很少，後來身家暴漲；我的腳一到你這裡，耶和華就賜福給你。好了，我甚麼時候才能也為自己的家做點事呢？”
