列王紀下
第一章
 	先知預言亞哈謝必死
2	亞哈斯登基的時候年二十歲，在耶路撒冷為王十六年。他不像先祖大衛做耶和華他的神視為正的事，
3	反而走以色列諸王的道路，甚至讓兒子在火中經過，仿效耶和華從以色列人面前剷除的列國，做那些可憎之事，
4	又在丘壇上、山岡上和所有青蔥的樹下宰獻祭牲和燒獻祭物。
 	亞蘭和以色列聯軍攻打猶大
（代下28:5~6）
5	那時，亞蘭王利汛與利瑪利雅的兒子以色列王比加上來攻打耶路撒冷。他們圍困亞哈斯，卻無法戰勝他。
6	當時，亞蘭王利汛收復伊拉特重歸亞蘭。他把猶大人逐出伊拉特，伊東人來到伊拉特，住在那裡，直到今天。
 	亞哈斯向亞述王求助
（代下28:16~21）
7	亞哈斯派使者去見亞述王提革拉琵列色，說：“我是你的臣僕，你的兒子，求你上來救我脫離那起來攻擊我的亞蘭王和以色列王的手。”
8	亞哈斯拿耶和華殿裡和王宮寶庫內找到的金銀，進貢給亞述王。
9	亞述王就答應他。亞述王上去攻打大馬士革，把城攻取，把居民擄到吉珥，且把利汛殺死。
 	亞哈斯擅自更改祭壇和祭禮
（代下28:22~23）
10	亞哈斯王到大馬士革去見亞述王提革拉琵列色，看見在大馬士革的祭壇。亞哈斯王就派人把祭壇的圖樣、結構和詳盡的做法送到烏利亞祭司那裡。
11	烏利亞祭司就按照亞哈斯王從大馬士革送回來的所有指示建造祭壇。在亞哈斯王從大馬士革回來之前，烏利亞祭司就照樣做了。
12	亞哈斯王從大馬士革回來，看見那祭壇，就走到祭壇旁邊，登上台階，
13	燒獻燔祭和素祭，又澆上他的澆酒祭，並且把他平安祭牲的血潑在祭壇上。
14	至於耶和華面前的銅祭壇，他把它從殿前，從新壇與耶和華殿中間移至新壇的北邊。
15	亞哈斯王吩咐烏利亞祭司，說：“要在這大祭壇上燒獻早晨的燔祭、黃昏的素祭、王的燔祭和素祭、全體人民的燔祭和素祭；也要在壇上澆上他們的澆酒祭，以及所有燔祭和平安祭的血。至於銅祭壇，我要用來求問神。”
16	烏利亞祭司就照著亞哈斯王所有的吩咐去做。
 	亞哈斯擅自挪移聖殿的器具
（代下28:24、26~27）
17	亞哈斯又砍掉盆座的邊緣，把洗濯盆拿下來，又把銅海從馱著銅海的銅牛上取下來，放在鋪石的地上。
18	他又因亞述王的緣故，把耶和華殿裡為安息日建造的覆蓋和王從外邊進殿的入口，從耶和華的殿拆除。
19	亞哈斯其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
20	亞哈斯與列祖同眠，安葬在大衛城，與列祖葬在一起。他的兒子希西家接替他為王。
第十七章
 	何細亞登基為以色列王
1	猶大王亞哈斯在位第十二年，以拉的兒子何細亞在撒瑪利亞登基，統治以色列九年。
2	他做耶和華視為惡的事，只是不像他以前的以色列諸王。
3	亞述王撒縵以色上來攻擊他，他就臣服於亞述王，向他進貢。
4	後來，亞述王發覺何細亞密謀背叛：他曾派使者去見埃及王索阿，並且不再像往年那樣向亞述王進貢。亞述王就抓住他，把他關進牢裡。
 	亞述攻陷撒瑪利亞的原因
5	亞述王攻打以色列全地，上到撒瑪利亞，圍城三年。
6	何細亞在位第九年，亞述王攻陷撒瑪利亞，把以色列人擄往亞述，把他們流放在哈臘，歌散的哈博河以及瑪代各城。
7	這是因為以色列人犯罪干犯了那帶領他們脫離埃及王法老之手，領他們從埃及地上來之耶和華他們的神，去敬畏別的神。
8	他們仿效耶和華從以色列人面前剷除的列國和以色列諸王的規定去行事為人。
9	以色列人暗中做了不對的事，違背耶和華他們的神，在他們所有的城鎮，不論瞭望塔還是堅城，都建築丘壇。
10	又在每座高山的山頂上和每棵青蔥的樹下豎立神碑和亞舍拉柱。
11	他們在各丘壇上燒獻祭物，跟著耶和華從他們面前驅逐的列國，去做惡事激怒耶和華。
12	他們侍奉那些臭偶像，耶和華曾警告以色列人不可做這樣的事。
13	耶和華曾藉著他的眾先知和先見警告以色列人和猶大人，說：“你們當轉離你們的惡道，遵守我的命令和規定，就是我吩咐你們的列祖和藉著我僕人眾先知傳遞給你們的所有律法。”
14	可是他們不聽從，反而像他們的列祖那樣硬著頸項，不信靠耶和華他們的神，
15	又棄絕他的規定和他與他們列祖所立的約，以及他對他們的警戒，卻信從虛無的神明，自己成為虛妄，跟隨他們周邊的列國，而耶和華曾吩咐以色列人不可像列國那樣做。
16	他們離棄耶和華他們神的所有吩咐，造了兩個包金牛像，又造亞舍拉柱，並且敬拜天上的萬象，侍奉巴力；
17	他們又讓兒女在火中經過，並且占卜，卜算，出賣自己去做耶和華視為惡的事，惹他發怒。
18	於是耶和華極其惱怒以色列人，把他們從自己面前除掉，只剩下猶大一個支派。
19	然而連猶大人也不遵守耶和華他們神的吩咐，反而跟隨以色列人的規定。
20	耶和華就棄絕以色列人的後裔，使他們受苦，把他們交在搶掠者的手中，直到把他們從自己面前丟棄。
21	因為自從他讓以色列從大衛家撕裂出來以後，他們就立尼拔的兒子耶羅波安為王，耶羅波安卻引誘以色列人不去跟從耶和華，導致他們犯了大罪。
22	以色列人就行在耶羅波安所犯的一切罪中，沒有轉離，
23	以致最後耶和華把以色列人從自己面前除掉，照他藉著自己的僕人眾先知所說的那樣。於是以色列人被擄離開自己的國土，往亞述去，直到今天。
 	亞述王把外族人安置在撒瑪利亞
24	亞述王從巴比倫、庫特、亞瓦、哈馬和西法瓦音把當地人帶來，安置在撒瑪利亞的各城鎮，取代以色列人。他們就獲得撒瑪利亞作為產業，住在各城鎮中。
25	他們剛開始住在那裡的時候，並不敬畏耶和華，所以耶和華派獅子到他們當中，咬死他們一些人。
26	有人告訴亞述王說：“你所遷徙安置在撒瑪利亞各城鎮的眾民族不懂得當地神明的規矩，所以他派獅子進到他們中間。你知道嗎？獅子咬死他們，因為他們不懂得當地神明的規矩。”
27	亞述王就下令：“叫一個從那裡擄來的祭司回去，讓他住在那裡，教導他們當地神明的規矩。”
28	於是有一個從撒瑪利亞擄來的祭司回去住在伯特利，教導他們怎樣敬畏耶和華。
29	但各族的人仍然製造自己的神像，安放在撒瑪利亞人所造的各丘壇的廟裡；各族的人在他們所居住的城鎮都這樣做。
30	巴比倫人造棚村比訥像，庫特人造匿甲像，哈馬人造亞示瑪像，
31	亞瓦人造匿哈和塔珥塔克像，西法瓦音人用火焚燒自己的兒女，獻給西法瓦音的神明亞得米勒和亞拿米勒。
32	他們也害怕耶和華，所以從他們中間選立丘壇的祭司，替他們在丘壇的廟裡獻祭。
33	他們既害怕耶和華，又侍奉他們自己的神明；人們從哪個民族遷來，就按照哪個民族的慣例侍奉他們的神明。
34	直到今天，他們仍然按照他們原先的習俗去做；他們不敬畏耶和華，做事不按他們的規定和律例，不按耶和華曾吩咐雅各子孫的律法和誡命；耶和華曾給雅各改名為以色列。
35	耶和華與他們立約，吩咐他們，說：“你們不可敬畏別的神，不可向他們下拜，不可侍奉他們，不可獻祭給他們。
36	但是耶和華——曾用大能和伸出的手臂把你們從埃及地領出來的那位，你們要敬畏他，向他下拜，獻祭給他。
37	他寫給你們的規定、律例、律法和誡命，你們要永遠持守遵行，不可敬畏別的神。
38	我和你們所立的約，你們不可忘記；你們不可敬畏別的神，
39	但要敬畏耶和華你們的神，他會救你們脫離所有仇敵的手。”
40	可是他們沒有聽從，仍然照著他們原先的習俗去做。
41	這樣，這些民族一方面害怕耶和華，另一方面又繼續侍奉他們的偶像。他們的子子孫孫繼續照著他們列祖所做的去做，直到今天。
第十八章
 	希西家登基為猶大王
（代下29:1~2，31:1）
1	以拉的兒子以色列王何細亞在位第三年，猶大王亞哈斯的兒子希西家登基為王。
2	他登基的時候年二十五歲，在耶路撒冷為王二十九年，他母親名叫亞碧，是撒迦利亞的女兒。
3	他做耶和華視為正的事，照著他先祖大衛所做的一切去做。
4	他廢去丘壇，打碎神碑，砍掉亞舍拉柱；他又打碎摩西所做的銅蛇，因為直到那些日子，以色列人仍然向它燒獻祭物，稱它為銅蛇神。
5	他信靠耶和華以色列的神，在他以前或以後的猶大列王中，沒有一個能與他媲美。
6	他緊緊依隨耶和華，沒有背棄他；他遵守耶和華對摩西的吩咐。
7	耶和華與他同在，無論他做甚麼都獲得成功。他背叛亞述王，不再臣服他。
8	他攻擊非利士人，包括迦薩及周邊地區，不論瞭望塔還是堅城。
 	撒瑪利亞被攻陷
9	希西家王在位第四年，也就是以拉的兒子以色列王何細亞在位第七年，亞述王撒縵以色上來攻擊撒瑪利亞，圍困那城。
10	過了三年，他們就攻陷撒瑪利亞。希西家在位第六年，也就是以色列王何細亞在位第九年，撒瑪利亞終於被攻陷。
11	亞述王把以色列人擄往亞述，把他們流放在哈臘、歌散的哈博河，以及瑪代各城；
12	這是因為他們不聽從耶和華他們神的話，違背他的約；耶和華的僕人摩西的一切吩咐，他們都不聽從，也不遵行。
 	亞述王攻打猶大
（代下32:1~8；賽36:1~3）
13	希西家王在位第十四年，亞述王西拿基立上來攻擊猶大所有的堅城，一一佔據。
14	猶大王希西家派人往拉吉去見亞述王，說：“我有罪了，請你撤軍。你們加於我的處分，我必承當。”於是亞述王處罰猶大王希西家三百他連得銀子和三十他連得金子。
15	希西家就把耶和華殿和王宮寶庫內所有的銀子都給他。
16	那時，猶大王希西家把耶和華殿門上和他自己包在門柱上的金子都刮下來，給亞述王。
17	亞述王從拉吉派遣將軍、內臣長和御前大臣率領大軍，往耶路撒冷，到希西家王那裡去。他們就上來，去到耶路撒冷。他們到達以後，就站在上池的水溝旁，在往縮洗場的大道上。
18	他們向王叫陣；希基雅的兒子以利亞敬王宮總管、舍伯那書記和亞薩的兒子約亞記事官就出來見他們。
 	亞述御前大臣的恐嚇
（賽36:4~12）
19	那御前大臣對他們說：“你們要對希西家說：‘大王——亞述王這樣說：“你倚靠的這種防禦算是甚麼呀？
20	你說有作戰的謀略和能力，只不過是嘴上空言，現在你反叛我，究竟是倚靠誰呢？
21	你倚靠的不過是那根破蘆葦杖——埃及！誰倚仗它，它就刺入誰的手掌，把手掌刺穿！對於所有倚靠他的人，埃及王法老就是這樣的杖。
22	也許你們會對我說：‘我們倚靠的是耶和華我們的神！’就是這希西家除掉耶和華的那些丘壇和祭壇！他對猶大和耶路撒冷的人說‘你們敬拜，只可以來耶路撒冷這個祭壇前’！”
23	所以，你和我主上亞述王打賭吧！如果你派得出人來駕御兩千匹馬，我就給你兩千匹馬！
24	你怎麼會拒絕我主上最卑微臣僕中的一個小官呢？你老是倚靠埃及供應戰車和戰車兵！
25	現在，我上來攻打毀滅這地方，難道不是耶和華的意思嗎？正是耶和華對我說：“你要上去攻打毀滅這個國家！”’”
26	以利亞敬，就是希基雅的兒子，還有舍伯那和約亞，對那御前大臣說：“請用亞蘭語對你的僕人們說話，我們聽得懂；不要用猶大語對我們說話，免得城牆上的人民聽明白了。”
27	那御前大臣對他們說：“我的主人派我來說這番話，難道是對你的主人和你說的嗎？豈不是對坐在城牆上的人說的？他們要吃自己的屎、喝自己的尿，你們也一樣！”
 	亞述御前大臣勸降的話
（代下32:9~19；賽36:13~22）
28	那御前大臣站著，用猶大語大聲喊著說：“你們要聽大王——亞述王的話！
29	王這樣說：‘不要讓希西家欺騙你們，因為他不能救你們脫離我的手。
30	也不要讓希西家使你們倚靠耶和華；他說：“耶和華必定救我們，這座城不會被交在亞述王手中。”’
31	不要聽從希西家，因為亞述王這樣說：‘你們要與我講和，出來歸順我，你們人人就可以吃自己葡萄樹和無花果樹的果子，喝自己儲水池裡的水，
32	直到我來帶你們到一個像你們本地一樣的地方，那是有穀物和新酒的地方，有糧食和葡萄園的地方，有橄欖樹和蜜的地方，你們必可以活著，不會死亡。不要讓希西家誤導你們，他說“耶和華會救我們”。
33	列邦的諸神有哪一個救了自己的地脫離亞述王的手？
34	哈馬和亞珥拔的諸神在哪裡？西法瓦音、希拿和以瓦的諸神在哪裡？他們救了撒瑪利亞脫離我的手嗎？
35	這些邦國所有的神明之中，哪一個救了自己的邦國脫離我的手呢？那麼，難道耶和華能救耶路撒冷脫離我的手嗎？’”
36	人民都默不作聲，一句話也不回答他，因為王的吩咐是“不要回答他”。
37	希基雅的兒子以利亞敬王宮總管、舍伯那書記和亞薩的兒子約亞記事官撕裂衣服，去見希西家，把那御前大臣的話稟告他。
第十九章
 	希西家向以賽亞求救
（賽37:1~5）
1	希西家王聽見，就撕裂衣服，披上粗毛布，進耶和華的殿。
2	王又派以利亞敬王宮總管、舍伯那書記、祭司中的長老披著粗毛布到亞摩斯的兒子以賽亞先知那裡。
3	他們對他說：“希西家這樣說：‘今天是危難、責罰、侮辱的日子，好像胎兒已到產道口，婦人卻沒有氣力生出來！
4	也許耶和華你的神聽見那御前大臣的話，就是他主人亞述王派他來辱罵永活神的話，耶和華你的神就會因他聽見的話責備他。因此，求你為存留下來的餘民獻上禱告。’”
5	希西家王的臣僕就這樣到了以賽亞那裡。
 	以賽亞安慰的話
（賽37:6~7）
6	以賽亞對他們說：“要這樣告訴你們的主人：‘耶和華這樣說：你聽了亞述王的僕人褻瀆我的話，不要害怕。
7	我很快就會把一個靈放在他心裡；他聽見一個消息就會回國，我會使他在自己的國家喪身刀下。’”
 	亞述王恐嚇的話
（賽37:8~13）
8	那御前大臣聽說亞述王已經起程離開拉吉，就回去，到立拿與他會合，當時他正在攻打立拿。
9	亞述王聽見有關古實王特哈加的消息說：“他已出來攻打你。”亞述王聽見了，就派一些使者去見希西家，說：
10	“你們要對猶大王希西家這樣說：‘不要讓你倚靠的那個神欺騙你說：耶路撒冷不會被交在亞述王手中。
11	你自己一定聽過亞述列王怎樣對付所有邦國，把它們全都徹底滅絕。難道只有你會得救嗎？
12	我列祖所毀滅的列邦，包括歌散、哈蘭、利色和在特萊沙的伊甸人，這些邦國的諸神救了他們嗎？
13	哈馬王、亞珥拔王、西法瓦音城的王、希拿王、以瓦王，都在哪裡呢？’”
 	希西家向神禱告
（賽37:14~20）
14	希西家從使者手裡接過信件，讀了，就上耶和華的殿。希西家在耶和華面前把信展開。
15	希西家向耶和華禱告說：“萬軍之耶和華以色列的神啊，你坐在兩個基路伯之上，你，唯獨你是地上所有王國的神！是你創造了天地。
16	耶和華啊，求你伸開耳朵聽！耶和華啊，求你睜開眼睛看！求你聽聽西拿基立派使者來辱罵永活神的話！
17	耶和華啊，真的，亞述列王已經使所有邦國和他們的土地荒蕪，
18	把他們的諸神付諸一炬！因為，那些並不是神，而是人手所造的東西，是木頭石頭。因此，他們才可以毀滅那些神明。
19	所以，耶和華我們的神啊，求你拯救我們脫離他的手，使地上所有王國都知道，唯獨你耶和華才是神！”
 	以賽亞預言亞述必敗
（賽37:21~35）
20	亞摩斯的兒子以賽亞派人到希西家那裡，說：“耶和華以色列的神這樣說：‘你為了亞述王西拿基立的事向我禱告，我已經聽見了。’
21	以下是耶和華斥責他的話：“處女錫安藐視你、譏笑你，女兒耶路撒冷在你背後搖頭。
22	你辱罵誰、褻瀆誰？你是衝著誰高呼，抬起你高傲的眼目？是衝著以色列的至聖者！
23	你藉著你的使者辱罵主。你說：憑著我的眾多戰車，是我登上群山的高峰、黎巴嫩山巔，砍下那些最高大的雪松、最好的刺柏，去到黎巴嫩盡頭的住處、最茂密的樹林。
24	是我在外地鑿井飲水，用腳掌踏乾埃及所有的江河！
25	“難道你沒有聽過，我從古時就開始訂立這事，從遠古就開始安排這事？現在我使這事實現，使眾堅城荒涼，變成廢墟。
26	其中的居民軟弱無力，驚慌失措，失意難堪。他們是野草青蕪、房頂亂草，沒有長起來就焦黃了。
27	你坐下、出去、進來，你對我的震怒，我都知道。
28	因為你對我的震怒，因為你的輕狂達到我耳中，我要把我的鈎子鈎在你鼻上，把嚼子放在你嘴裡，使你原路回去。
29	“以下是給你的標記：這一年你們要吃自然長出來的莊稼，第二年要吃自己生出來的莊稼，第三年你們要撒種、收割，在葡萄園裡栽種，吃其中的果子。
30	猶大家的遺民將會往下扎根，往上結果。
31	因為，將有餘民從耶路撒冷出來，有遺民從錫安山出來，萬軍之耶和華的熱愛必成就這事！
32	所以論到亞述王，耶和華這樣說：他不會進這座城，不會在那裡射箭，不會持盾來犯，不會築壘攻城。
33	他從哪條路來，也要從哪條路回去；這座城，他不得進入！耶和華這樣宣告。
34	為了我自己，也為了我的僕人大衛，我會保護這座城，拯救這座城。”
 	神懲罰亞述王
（代下32:20~21；賽37:36~38）
35	那天晚上，耶和華的使者出去，在亞述軍營殺了十八萬五千人。清晨眾人起來，看見他們全都是死屍！
36	於是亞述王西拿基立起程回去，住在尼尼微。
37	有一天，他正在他的神尼斯洛的廟中下拜，他的兒子亞得米勒和沙瑞策用刀殺了他。他們逃到亞拉臘地，而西拿基立的兒子以撒哈頓接替他為王。
第二十章
 	希西家病危及痊癒
（代下32:24；賽38:1~8、21~22）
1	在那些日子，希西家病重，快要死了。亞摩斯的兒子以賽亞先知來見他，對他說：“耶和華這樣說：‘你要留遺詔給你的家人，因為你快死了，不會痊癒。’”
2	希西家就轉身面向牆壁，向耶和華禱告，說：
3	“耶和華啊，求你記念我曾經怎樣真誠地、全心全意地行在你面前，我所做的是你視為好的事！”然後希西家痛哭起來。
4	以賽亞還沒有出到中庭，耶和華的話就臨到他，說：
5	“你去告訴我子民的君主希西家：‘耶和華你先祖大衛的神這樣說：我聽見了你的禱告，看見了你的眼淚。現在我會醫好你，第三天你會上耶和華的殿。
6	我會增加你的壽命十五年。我會救你和這座城脫離亞述王的手，又要因我自己和我僕人大衛的緣故保護這座城。’”
7	以賽亞說：“拿一塊無花果餅來。”他們就拿來貼在瘡上。希西家就痊癒了。
8	希西家對以賽亞說：“有甚麼標記顯示耶和華會醫好我，第三天我可以上耶和華的殿呢？”
9	以賽亞說：“以下是耶和華給你的標記，顯明耶和華必成全他所應許的這事：你要日影向前進十級還是倒退十級呢？”
10	希西家說：“日影往下移十級容易；不，我要日影後退十級。”
11	以賽亞先知呼求耶和華，他就使亞哈斯的梯級上顯示太陽的位置，原本往下移的那個影子後退了十級。
 	希西家展示所有寶物
（賽39:1~4；代下32:27~31）
12	那時候，巴比倫王巴拉但的兒子米羅達巴拉但派人送信和禮物給希西家，因為他聽說希西家病了。
13	希西家聽了使者的話，就給他們看他的庫藏，包括其中的白銀、黃金、香料、貴重的油，以及他整個軍械庫，還有他眾寶庫內的一切。他宮裡、他整個王國裡的東西，希西家沒有一樣不給他們看。
14	以賽亞先知來見希西家王，對他說：“這些人說了些甚麼？他們從哪裡來見你呢？”希西家說：“他們從一個遙遠的國家來——從巴比倫來。”
15	以賽亞說：“他們在你宮中看到了甚麼？”希西家說：“我宮中的一切，他們都看見了。我眾寶庫內的東西，我沒有一樣不給他們看。”
 	以賽亞奉勸希西家要聽從耶和華的話
（代下32:32~33；賽39:5~8）
16	以賽亞對希西家說：“你要聽耶和華的話：
17	‘日子很快就要來到，你宮中的一切和你列祖積存至今的一切，都會被帶到巴比倫，一樣不留。’這是耶和華說的。
18	還有，你的子孫之中，就是由你所出、你將會生的，有一些會被抓到巴比倫王的王宮當太監。”
19	希西家對以賽亞說：“你所說的耶和華這番話很好。”因為他想：“那麼，我有生之年都會太平安穩。”
20	希西家其餘的事情，他強大的作為、他怎樣造水池和引水道，把水引入城裡的事，都已經寫在《猶大列王編年史》上。
21	希西家與列祖同眠，他的兒子瑪拿西接替他為王。
第二十一章
 	瑪拿西登基為猶大王
（代下33:1~20）
1	瑪拿西登基的時候年十二歲，在耶路撒冷為王五十五年，他母親名叫賀琪芭。
2	他做耶和華視為惡的事，仿效耶和華從以色列人面前剷除的列國，做那些可憎之事。
3	他重建父親希西家拆毀的那些丘壇，仿效以色列王亞哈為巴力設立各祭壇，造亞舍拉柱，敬拜侍奉天上的萬象。
4	他在耶和華的殿內築壇，而耶和華曾指著這殿說：“我要在耶路撒冷立我的名。”
5	瑪拿西在耶和華殿的兩個院子為天上的萬象築壇。
6	他讓兒子在火中經過，又算卦、卜算、召鬼和招魂，做了很多耶和華視為惡的事，惹他發怒。
7	他把自己所做的亞舍拉雕像安放在聖殿中；耶和華曾對大衛和他的兒子所羅門論到這殿，說：“我要在這殿並在我從以色列所有支派中揀選的耶路撒冷立我的名，直到永遠。
8	只要以色列人持守遵行我對他們的所有吩咐，就是我的僕人摩西吩咐他們的所有律法，我就不會再使他們的腳離開我賜給他們列祖的土地，流離飄蕩。”
9	然而他們沒有聽從。瑪拿西引誘他們去作惡，比耶和華從以色列人面前消滅的列國更惡劣。
10	於是耶和華藉著他的僕人眾先知，說：
11	“因為猶大王瑪拿西做了這些可憎之事，比在他以前的亞摩利人所做的更惡劣，更以他那些臭偶像導致猶大人犯罪。
12	因此，耶和華以色列的神這樣說：‘我快要把災禍降在耶路撒冷和猶大，所有聽見的人都會雙耳刺痛！
13	我要用撒瑪利亞的繩尺來量度耶路撒冷，用亞哈家的砝碼來稱量她。我要抹淨耶路撒冷，像人抹淨盤子一樣。抹完一面，就把盤子翻轉過來。
14	我要撇棄我產業中餘剩的人民，把他們交在仇敵手中；他們要成為所有仇敵擄掠的戰利品。
15	因為他們一直做我視為惡的事，惹我發怒，從他們的列祖出埃及的那天直到今天都是這樣。’”
16	除了他導致猶大人犯罪，去做耶和華視為惡的那罪之外，瑪拿西又殺害許多無辜的人，直到耶路撒冷從這邊到那邊都流滿他們的血。
17	瑪拿西其餘的事情，他一切的作為、他所犯的各種罪，都已經寫在《猶大列王編年史》上。
18	瑪拿西與列祖同眠，葬在他宮中的烏撒園裡。他的兒子阿芒接替他為王。
 	阿芒登基為猶大王
（代下33:21~25）
19	阿芒登基的時候年二十二歲，在耶路撒冷為王兩年。他母親名叫米舒蕾美，是約提巴人哈魯斯的女兒。
20	他做耶和華視為惡的事，照著他父親瑪拿西所做的去做。
21	他走父親的一切道路，敬拜侍奉他父親所侍奉的那些臭偶像。
22	他離棄耶和華他列祖的神，不遵行耶和華的法則。
23	後來，阿芒的臣僕們密謀背叛他，在王宮中把王殺死。
24	可是國民卻擊殺所有密謀背叛阿芒王的人，並擁立他的兒子約西亞接替他為王。
25	阿芒其餘的事情，他的作為，都已經寫在《猶大列王編年史》上。
26	他葬在烏撒園裡自己的墳墓。他的兒子約西亞接替他為王。
第二十二章
 	約西亞登基為猶大王
（代下34:1~2）
1	約西亞登基的時候只有八歲，在耶路撒冷為王三十一年。他的母親名叫耶迪妲，是波斯加人亞達雅的女兒。
2	他做耶和華視為正的事，走他先祖大衛一切的道路，不偏左右。
 	約西亞下令重修聖殿
（代下34:8~13）
3	約西亞王在位第十八年，王派米書蘭的孫子，亞薩利雅的兒子沙番書記到耶和華的殿去，吩咐他說：
4	“你上去見希基雅大祭司，叫他把獻給耶和華殿的銀子結算一下。這些銀子是門衛從人民那裡募集的。
5	然後要他們把銀子交到負責修理耶和華殿的督工手中，好讓他們把銀子發給施工的工人，
6	就是交給木匠、建築工人、泥水匠，以修補聖殿；又購買木材和鑿好的石頭，用來修理聖殿。
7	銀子交在他們手中，不用和他們算賬，因為他們辦事誠實。”
 	發現律法書
（代下34:14~21）
8	希基雅大祭司對沙番書記說：“我在耶和華的殿裡發現一卷律法書。”他把書卷交給沙番，沙番就誦讀那書卷。
9	沙番書記來見王，向王稟報說：“你的臣僕已經把殿裡的銀子倒出來，交給耶和華殿的監工。”
10	沙番書記又告訴王，說：“希基雅祭司交給我一卷書。”沙番就在王面前誦讀那書卷。
11	王一聽見律法書上的話，就撕裂自己的衣服。
12	王又吩咐希基雅祭司、沙番的兒子亞希甘、米該亞的兒子亞革博、沙番書記和王的臣僕亞撒雅，說：
13	“你們去，為我、為人民、為猶大全國，求問耶和華關於所發現的這書卷上的話，因為耶和華向我們所發的怒火非常猛烈。這是因為我們的列祖沒有聽從這律法書上的話，沒有照著寫給我們的一切去做。”
 	女先知戶勒妲的預言
（代下34:22~28）
14	於是希基雅祭司、亞希甘、亞革博、沙番、亞撒雅去見戶勒妲女先知。她是管理禮服的沙龍的妻子，沙龍是哈珥哈斯的孫子，特瓦的兒子。戶勒妲住在耶路撒冷第二區。他們把事情原委告訴她，
15	她就對他們說：“耶和華以色列的神這樣說：‘告訴那差派你們到我這裡來的人，說：
16	“耶和華這樣說：我快要照著猶大王所誦讀的那書卷上的一切話，使災禍降臨在這地方及其居民身上，
17	因為他們離棄我，向別的神燒獻祭物。用他們的手所造的一切偶像激怒我，所以我的怒火要在這地方燃燒，總不熄滅。”
18	至於那派你們來求問耶和華的猶大王，你們要這樣對他說：“耶和華以色列的神這樣說：有關你所聽見的話，
19	由於你聽見我攻擊這地方及其居民的話，就是他們要成為荒涼，受詛咒，你的心就順服，在耶和華面前謙卑；你又撕裂自己的衣服，在我面前哀哭，我已經聽到了。耶和華這樣宣告。
20	因此，我一定會讓你歸到列祖那裡，你會安然歸入你的墳墓。你不會親眼看見我要降在這地方的所有災禍。”’”他們就把這番話向王稟報。
第二十三章
 	王宣讀約書並與神立約
（代下34:29~32）
1	於是王派人召集猶大和耶路撒冷所有的長老到他那裡。
2	王和所有猶大人、耶路撒冷所有的居民，還有祭司、先知以及所有的人民，無論大小，都一同上到耶和華的殿。王就把在耶和華殿裡發現的約書上的一切話都念給他們聽。
3	王站在柱旁，在耶和華面前立約，要全心全意跟從耶和華，遵守他的誡命、法度和規定，實行這書上所記立約的誓言。全體人民都一起立約。
 	雷厲風行除去偶像崇拜
（代下34:3~7、33）
4	王吩咐希基雅大祭司、各副祭司長和門衛，把所有為巴力、亞舍拉和天上的萬象所製造的器物，都從耶和華殿裡搬出去，在耶路撒冷外面汲淪溪谷的田野燒毀，然後把灰燼帶到伯特利去。
5	他革除從前猶大諸王在猶大各城所立的丘壇以及耶路撒冷周邊的異教祭司，又革除向巴力、日、月、星辰和天上萬象燒獻祭物的人。
6	他把亞舍拉柱從耶和華殿裡搬出去，拿到耶路撒冷外面的汲淪溪谷燒毀，搗成粉末，把粉末撒在平民的墳墓上。
7	他拆毀在耶和華殿內男廟妓的房屋，婦女們在那裡為亞舍拉編織遮蓋物。
8	他又召集猶大所有城鎮的祭司，把祭司們燒獻祭物的丘壇，從迦巴到別示巴，都宣布為不潔淨；他又拆毀城門北邊、在約書亞市長的城門口的公山羊偶像的丘壇。
9	但是丘壇的祭司沒有登上耶路撒冷的耶和華祭壇，他們只在兄弟中間吃無酵餅。
10	王又把在欣嫩子谷的陀斐特宣布為不潔淨，不許人在那裡讓兒女在火中經過獻給摩洛。
11	他除去猶大列王獻給太陽的馬匹雕像，用火焚燒他們獻給太陽的戰車；這些都在耶和華殿的入口處，靠近大臣拿單米勒在殿院裡的住宅。
12	至於亞哈斯的樓房頂上，猶大列王所做的祭壇，以及瑪拿西在耶和華殿的兩院中所做的祭壇，王都拆毀，快速搬離，把粉末倒進汲淪溪谷。
13	在耶路撒冷東面，橄欖山南面的丘壇，就是以色列王所羅門為西頓人可憎之物亞絲塔露、摩押人可憎之物基抹，和亞捫人可憎之物米勒公所築的丘壇，王都宣布為不潔淨。
14	他打碎神碑，砍下亞舍拉柱，把死人的骸骨布滿那個地方。
15	此外，甚至尼拔的兒子耶羅波安在伯特利所造的丘壇，就是他導致以色列人犯罪的丘壇——連這個丘壇，他都拆毀焚燒，搗成粉末，又焚燒亞舍拉柱。
16	約西亞轉過身來，看見在山上的墳墓，就照耶和華的話，就是從前宣告這些事的神人所宣告的話那樣，派人把骸骨從墳墓中取出來，燒在祭壇上，宣布為不潔淨。
17	約西亞說：“我看見的這墓碑是誰的？”那城的人對他說：“這是以前從猶大來的神人的墳墓，他預告你對伯特利祭壇所做的這些事。”
18	王說：“讓他安歇吧！不要讓人動他的骸骨。”於是他們沒有碰他的骸骨和那從撒瑪利亞來的先知的骸骨。
19	以色列諸王在撒瑪利亞各城鎮建造，以致激怒耶和華的所有丘壇上的廟，約西亞都除去；他照著在伯特利所做的一切處理它們。
