約書亞記
第一章
 	約書亞受命領導
45	伊胡得、比尼比勒、榴樹醡、
46	耶昆水城、拉昆和約帕對面的地區。
47	但人未能控制他們的領土，因此他們上去攻打利善，奪取那城，用刀擊殺了城中的人。他們佔領利善，就住在城中，以他們祖先但的名字把利善改名為但。
48	這些城鎮及附屬村莊，就是但子孫的支派各家族所得的產業。
 	約書亞所得產業
49	以色列人按著邊界把土地分完之後，就在他們中間把產業分給努恩的兒子約書亞。
50	按照耶和華的吩咐，他們把約書亞所要的城，就是以法蓮山地的亭納西拉給了他。約書亞修建那城，住在城中。
51	以上就是以利亞撒祭司和努恩的兒子約書亞，以及以色列人各支派的族長，在示羅會幕的門口，在耶和華面前抽籤分配的產業。這樣，他們就完成了土地分配。
第二十章
 	設立庇護城
（民35:9~28；申19:1~13）
1	耶和華吩咐約書亞說：
2	“你要吩咐以色列人說：‘你們要按照我藉著摩西給你們的吩咐，設立庇護城，
3	讓殺人者——無意中誤殺人的，可以逃到那裡。這些城可以給你們庇護，逃避要為死者報血仇的親人。
4	殺人者要逃到其中一座城，站在城門口，把他的案情告訴城中的長老們，長老們就要把他接入城中，到他們那裡，給他地方，讓他跟他們同住。
5	如果報血仇的親人追趕那殺人者，長老不可把他交到報血仇的親人手裡，因為他是無意中殺人，與死者素無仇怨。
6	殺人者要住在那城，直到他站在群體面前受審。他要等到當時的大祭司過世了，才可以回到本城本家，回到他逃出來的城那裡。’”
7	於是以色列人在拿弗他利山地，分出加利利的基低斯；在以法蓮山地，分出示劍；在猶大山地，分出亞巴鎮（亞巴鎮就是希伯崙）。
8	又在約旦河東，耶利哥的東面，從呂便支派中，撥出荒野臺地上的比悉；從迦得支派中，撥出基列的高地鎮；從瑪拿西支派中，撥出巴珊的哥蘭。
9	這些都是為所有以色列人和在他們中間寄居之外族人所指定的城，讓所有誤殺人者可以逃到那裡，不致還沒有站在群體面前受審，就死在報血仇的親人手中。
第二十一章
 	利未支派求城鎮
1	那時，利未人的眾族長來見以利亞撒祭司和努恩的兒子約書亞，以及以色列人各支派的族長，
2	在迦南地的示羅對他們說：“耶和華藉著摩西吩咐要給我們城鎮居住，還有城的郊野牧放我們的牛羊。”
3	於是以色列人遵照耶和華的吩咐，從自己的產業中，把以下這些城及附屬郊野給了利未人。
4	第一籤抽出來是給哥轄家族：利未人中亞倫祭司的子孫，從猶大支派、西緬支派、便雅憫支派，憑籤得到十三座城。
5	哥轄其餘的子孫，從以法蓮支派的各家族、但支派、瑪拿西半個支派，憑籤得到十座城。
6	革順的子孫，從以薩迦支派的各家族、亞設支派、拿弗他利支派、在巴珊的瑪拿西半個支派，憑籤得到十三座城。
7	米拉利子孫的各家族，從呂便支派、迦得支派、西布倫支派，得到十二座城。
8	以色列人遵照耶和華藉著摩西的吩咐，按照所抽的籤把這些城及附屬郊野分給利未人。
 	哥轄家族中亞倫子孫所得的城
9	從猶大子孫的支派和西緬子孫的支派，分出以下這些提到名字的城，
10	給利未人哥轄家族中亞倫的子孫，因為他們得到第一籤。
11	猶大山地的亞巴鎮及其四圍的郊野給了他們（亞巴是亞衲的祖先，亞巴鎮就是希伯崙）；
12	那城的田地及附屬村莊，則給了耶孚尼的兒子迦勒作為產業；
13	殺人者的庇護城希伯崙及附屬郊野，還有立拿及附屬郊野，給了亞倫祭司的子孫，
14	還有雅提珥及附屬郊野、以實提莫及附屬郊野、
15	何崙及附屬郊野、底璧及附屬郊野、
16	泉鎮及附屬郊野、宇特及附屬郊野、太陽鎮及附屬郊野，共九座城，都是從這兩個支派分出來的；
17	又從便雅憫支派中分給他們基遍及附屬郊野、迦巴及附屬郊野、
18	亞拿突及附屬郊野、亞勒芒及附屬郊野，共四座城。
19	亞倫的子孫，就是那些祭司，一共得到十三座城，以及附屬郊野。
 	哥轄其餘子孫所得的城
20	利未人哥轄子孫其他的家族，就是哥轄其餘的子孫，憑籤得到從以法蓮支派分出來的城鎮。
21	殺人者的庇護城——在以法蓮山地的示劍及附屬郊野給了他們；又有基色及附屬郊野、
22	基伯先及附屬郊野、伯賀崙及附屬郊野，共四座城。
23	又從但支派中，給了他們伊利提基及附屬郊野，基比頓及附屬郊野，
24	亞雅崙及附屬郊野，榴樹醡及附屬郊野，共四座城。
25	又從瑪拿西半個支派中，給了他們塔納及附屬郊野，榴樹醡及附屬郊野，共兩座城。
26	哥轄其餘的子孫各家族一共得到十座城，以及附屬郊野。
 	革順子孫所得的城
27	從瑪拿西半個支派中，殺人者的庇護城——在巴珊的哥蘭及附屬郊野，給了利未人家族中革順的子孫；又給了他們亞絲塔露及附屬郊野，共兩座城。
28	又從以薩迦支派中，給了他們基善及附屬郊野，達比拉及附屬郊野，
29	高地鎮及附屬郊野，園泉鎮及附屬郊野，共四座城。
30	又從亞設支派中，給了他們米沙勒及附屬郊野，押頓及附屬郊野，
31	黑甲及附屬郊野，利合及附屬郊野，共四座城。
32	以色列人又從拿弗他利支派中，把殺人者的庇護城，就是在加利利的基低斯及附屬郊野，給了他們；又給他們多珥溫泉鎮及附屬郊野，加珥坦及附屬郊野，共三座城。
33	革順人的各家族一共得到十三座城，以及附屬郊野。
 	米拉利子孫所得的城
34	米拉利子孫的各家族，就是其餘的利未人，從西布倫支派中分得約念及附屬郊野，加珥他及附屬郊野，
35	石榴鎮及附屬郊野，拿哈拉及附屬郊野，共四座城。
36	又從呂便支派中，給了他們比悉及附屬郊野，雅哈撒及附屬郊野，
37	基底莫及附屬郊野，美法阿及附屬郊野，共四座城；
38	又從迦得支派中，把殺人者的庇護城，就是在基列的高地鎮及附屬郊野，給了他們；又給他們瑪哈念及附屬郊野，
39	希實本及附屬郊野，雅謝及附屬郊野，共四座城。
40	米拉利子孫的各家族，就是利未人其餘的家族，憑籤一共得到十二座城。
41	在以色列人的領土內，利未人一共得到四十八座城，以及附屬郊野。
42	這些城周圍都有自己的郊野，每座城都是如此。
 	神的應許全都實現
43	這樣，耶和華把他從前起誓要賜給以色列人列祖的全地都給了他們。他們佔領那地，住在那裡。
44	耶和華照著他向他們列祖起誓的一切，使他們四境平靜。他們所有的仇敵當中，誰也不能抵擋他們；耶和華把所有仇敵都交在他們手裡。
45	耶和華應許以色列家的各樣福祉，一樣也沒有落空，全都實現了。
第二十二章
 	河東支派回到基列地
1	那時，約書亞召集呂便人、迦得人和瑪拿西半個支派的人，
2	對他們說：“你們遵守了耶和華的僕人摩西吩咐你們的一切話，也聽從了我吩咐你們的一切話。
3	從過去這許多日子直到今天，你們都沒有撇棄你們的弟兄，而是忠心遵守耶和華你們神的命令。
4	如今耶和華你們的神照著他對你們弟兄的應許，已經使他們得享平安。所以你們可以回自己的帳篷去，回到耶和華的僕人摩西在約旦河東給你們作為產業之地去。
5	只是你們務要持守遵行耶和華的僕人摩西吩咐你們的誡命和律法，愛耶和華你們的神，遵行他的一切法則，遵守他的誡命，緊緊倚靠他，全心全意侍奉他。”
6	於是約書亞祝福他們，讓他們回去，他們就回自己的帳篷去了。
7	瑪拿西那半個支派，摩西早就在巴珊把產業分給他們；至於另外半個支派，約書亞在約旦河西他們的弟兄中間，也把產業分給他們。約書亞讓他們回自己的帳篷去的時候，就祝福他們，
8	並且對他們說：“你們要帶著許多財物回自己的帳篷去——許多牲畜和金、銀、銅、鐵，以及許多衣裳；要把從仇敵奪來的戰利品與你們的弟兄分享。”
9	於是呂便的子孫、迦得的子孫和瑪拿西半個支派的人，從迦南地的示羅起程，離開以色列人，回到他們所得產業的基列地去，是遵照耶和華藉著摩西傳達的諭示。
 	河東支派河畔築祭壇
10	呂便的子孫、迦得的子孫和瑪拿西半個支派的人，來到迦南地的約旦河區，就在約旦河邊築了一座祭壇，那壇十分壯觀。
11	以色列人聽說這事，就說：“呂便的子孫、迦得的子孫和瑪拿西半個支派的人竟然築了一座祭壇，就在迦南地前面，以色列人對岸的約旦河區！”
12	以色列人聽說這事，整個以色列群體就聚集在示羅，要上去討伐他們。
 	河西支派前來質問
13	以色列人派以利亞撒祭司的兒子非尼哈到基列地去見呂便的子孫、迦得的子孫和瑪拿西半個支派的人。
14	與他同去的還有十個領袖，以色列每個支派一個領袖，都是父家的領袖；他們都是以色列各宗族裡父家的首領。
15	他們去見基列地呂便的子孫、迦得的子孫和瑪拿西半個支派的人，對他們說：
16	“耶和華的整個群體這樣說：‘你們怎麼會對以色列的神做出這樣不忠的事？你們今天竟然背棄耶和華，築壇叛逆耶和華！
17	從前我們在琵珥所犯的罪還不夠嗎？這罪使災疫臨到耶和華的群體，直到今天這罪我們還沒有洗淨呢！
18	你們今天竟然背棄耶和華！你們今天叛逆耶和華，他明天就會向整個以色列群體發怒。
19	你們如果認為所得的產業之地不潔淨，就該過河到耶和華產業的地，即是耶和華聖幕所在的地方，在我們中間得產業。然而不可背叛耶和華，也不可背叛我們，在耶和華我們神的祭壇以外為自己另築一座祭壇。
20	要知道，從前謝拉的曾孫亞干做了對神不忠的事，取了定要滅絕之物，以致神的憤怒臨到整個以色列群體！因他的罪而死的，還不止他一人呢！’”
 	河東支派嚴辭辯解
21	當下呂便的子孫、迦得的子孫和瑪拿西半個支派的人回答以色列各宗族的首領說：
22	“大能者神耶和華！大能者神耶和華！他知道一切！願以色列也知道：如果我們存心叛逆或是對耶和華不忠，今天就不要拯救我們。
23	如果我們為自己築祭壇是要背棄耶和華，是要在壇上獻燔祭和素祭，或獻平安祭，願耶和華親自追究我們。
24	我們這樣做，無非是擔心一件事，就是將來你們的子孫會對我們的子孫說：‘你們與耶和華以色列的神有甚麼關係呢？
25	耶和華定了約旦河作為我們和你們呂便的子孫和迦得的子孫之間的界線；你們在耶和華裡無分了。’這樣，你們的子孫就使我們的子孫不再敬畏耶和華了。
26	“因此我們說：‘我們築一座祭壇吧，不是為了獻燔祭，也不是為了獻別的祭，
27	而是為了在我們和你們中間，也在我們的後代中間作證，使我們也可以在耶和華面前用燔祭、別的祭和平安祭侍奉耶和華，免得你們的子孫將來對我們的子孫說：你們在耶和華裡無分了。’
28	因此我們說：‘將來如果有人對我們或是對我們的後代這樣說，我們就可以回答：“你們看我們列祖所築的祭壇，與耶和華祭壇一模一樣，這並不是用來獻燔祭，也不是用來獻別的祭，而是在我們和你們之間作證。”’
29	今天我們絕對無意叛逆耶和華，背棄耶和華，在耶和華我們神的聖幕前的祭壇以外另築一座祭壇，去獻燔祭、素祭或別的祭。”
 	誤會冰釋
30	非尼哈祭司和群體的眾領袖，以及與祭司同來的以色列各宗族的首領，聽了呂便的子孫、迦得的子孫和瑪拿西的子孫的辯解，都很滿意。
31	以利亞撒祭司的兒子非尼哈對呂便的子孫、迦得的子孫和瑪拿西的子孫說：“今天我們知道耶和華在我們中間，因為你們並沒有對耶和華不忠；現在你們救了以色列人脫離耶和華的手。”
32	以利亞撒祭司的兒子非尼哈和眾領袖離開呂便的子孫和迦得的子孫，從基列地回到迦南地以色列人那裡，向他們報告這事。
33	以色列人對他們的報告都很滿意，就稱頌神，不再說要上去討伐呂便的子孫和迦得的子孫，毀滅他們所住的地方了。
34	呂便的子孫和迦得的子孫給那壇起名叫作證之壇，因為他們說：“這壇在我們中間證實耶和華是神。”
第二十三章
 	約書亞的遺言
1	此後很長一段日子，耶和華使以色列人得享平安，不受四圍仇敵的侵擾。約書亞年紀老邁，
2	就召集全以色列的長老、首領、審判官和官長，對他們說：“我已經年紀老邁。
3	你們親眼看見耶和華你們的神為你們的緣故向列國所做的一切——為你們作戰的是耶和華你們的神！
4	你們當注意，剩下來的這些國家，連同我剪除的列國，從約旦河到日落那邊的大海，都分配給你們各支派作為產業了。
5	耶和華你們的神會從你們面前清除他們，剷除他們，你們就會得到他們的地作為產業，正如耶和華你們的神應許你們的那樣。
6	所以你們要非常堅強地持守遵行摩西律法書上所寫的一切話，不要向左向右偏離；
7	不要與你們中間剩下的這些國民結合。他們神明的名號，你們不可提；不可指著這些神明起誓，不可侍奉他們，也不可敬拜他們。
8	只要照著你們一直以來所行的，緊緊倚靠耶和華你們的神。
9	耶和華已經把強大的列國從你們面前剷除。至於你們，直到今天都沒有誰能抵擋你們。
10	你們當中一人可以追擊千人，因為耶和華你們的神照著他給你們的應許，親自為你們作戰。
11	你們自己要非常謹慎，愛耶和華你們的神。
12	如果你們真的轉離耶和華，與你們中間所剩下的這些國民親密相連，彼此通婚，互相結合，
13	你們就要確實知道，耶和華你們的神再也不會把這些國民從你們面前剷除。對於你們，他們要成為羅網和陷阱、抽打肋旁的鞭、刺進眼中的荊棘，直到你們從耶和華你們的神所賜給你們的這美地上滅亡。
14	“現在，我很快就要離世了！你們心裡完全清楚知道：耶和華你們的神應許你們的各樣福祉，一樣也沒有落空——全都臨到你們身上，一樣也沒有落空！
15	然而，正如耶和華你們的神應許的各樣福祉臨到你們身上，如果你們違背耶和華的約，他也會照樣使各樣災禍臨到你們身上，直到把你們從耶和華你們的神所賜給你們的這美地上消滅。
16	如果你們違背耶和華你們的神吩咐你們遵守的約，去侍奉別的神，敬拜他們，耶和華就會對你們大發烈怒，使你們從他賜給你們的美地上迅速滅亡。”
第二十四章
 	在示劍追憶神的恩惠
1	約書亞把以色列各支派聚集到示劍，又召集以色列的長老、首領、審判官、官長，他們就站立在神面前。
2	約書亞對全體人民說：“耶和華以色列的神這樣說：‘古時你們的列祖，包括亞伯拉罕和拿鶴的父親他拉，住在幼發拉底河那邊；他們侍奉別的神。
3	我把你們的祖先亞伯拉罕從幼發拉底河那邊帶來，領他走遍迦南地，使他的後裔增多；我把以撒賜給他，
4	把雅各和以掃賜給以撒。我把西珥山地賜給以掃作為產業，雅各和他的子孫則下到埃及去。
5	後來我差遣摩西和亞倫，藉著我在埃及當中所行的擊打埃及，把你們領出來。
6	我領你們的列祖離開埃及，來到海邊；埃及人用戰車和戰車兵追趕你們的列祖，直到紅海。
7	“‘你們的列祖呼求耶和華，他就以黑暗隔開你們和埃及人，又使海水流回淹沒他們；你們也親眼見過我在埃及所做的事。後來，你們在荒野住了許多日子，
8	然後我就領你們到約旦河東亞摩利人所住之地。他們與你們爭戰，我把他們交在你們手裡，你們就佔領了他們的地；我也把他們從你們面前消滅了。
9	那時摩押王西撥的兒子巴勒起來攻擊以色列人；他派人召來比珥的兒子巴蘭詛咒你們。
10	我不肯聽巴蘭的話，結果他反而一再祝福你們。這樣，我就拯救你們脫離他的手。
11	“‘你們過了約旦河，來到耶利哥；耶利哥的居民，還有亞摩利人、比利洗人、迦南人、赫特人、革迦撒人、希未人、耶布斯人，都跟你們爭戰；我卻把他們交在你們手裡。
12	我差派大黃蜂在你們前面，從你們面前趕走亞摩利人的兩個王，並不是用你們的刀，也不是用你們的弓。
13	我賜給你們的土地，不用你們勞累開墾；你們居住的城鎮，不用你們建造；你們享用的葡萄園和橄欖園，不用你們栽種。’
 	勸勉人民侍奉神
14	“所以你們要敬畏耶和華，正直忠誠地侍奉他，要除掉你們列祖在幼發拉底河那邊和在埃及侍奉的神明，來侍奉耶和華。
15	如果你們認為侍奉耶和華不好，那麼今天你們就可以選擇你們所要侍奉的：是你們列祖在幼發拉底河那邊侍奉的神明，還是你們現在所住亞摩利人之地的神明呢？至於我和我家，我們要侍奉耶和華。”
16	人民回答：“我們絕不會離棄耶和華去侍奉別的神。
17	因為耶和華我們的神把我們和我們的列祖從埃及地為奴之家領上來，並且在我們眼前行了那些偉大的神蹟。他又在我們所行的一切路上，在我們經過的所有民族中間，守護我們。
18	耶和華又把所有的民族和住在這地的亞摩利人都從我們面前趕走。所以我們也要侍奉耶和華，因為他是我們的神。”
19	約書亞對人民說：“你們無法侍奉耶和華，因為他是聖潔的神；他是痛恨不忠的神，他必不赦免你們的過犯和罪惡。
20	如果你們離棄耶和華去侍奉外族人的神明，那麼耶和華在賜福給你們之後，就會轉而降禍給你們，把你們消滅。”
21	人民對約書亞說：“不，我們只會侍奉耶和華！”
22	約書亞對人民說：“你們自己選擇耶和華，要侍奉他，你們作自己的證人吧。”他們說：“我們是證人！”
23	約書亞說：“現在你們要除掉你們中間外族人的神明，全心歸向耶和華以色列的神。”
24	人民對約書亞說：“我們只會侍奉耶和華我們的神，聽從他的話。”
 	約書亞與人民立約
25	當天約書亞就與人民立約，在示劍為他們訂立規定和律例。
26	約書亞把這些話都寫在神的律法書上，又拿一塊大石頭，立在耶和華聖所旁邊的橡樹下。
27	約書亞對全體人民說：“看哪，這塊石頭可以作證指控我們，因為它聽見了耶和華對我們所說的一切話；這塊石頭可以作證指控你們，免得你們不認你們的神。”
28	於是約書亞讓人民各自回自己的產業去。
 	約書亞和以利亞撒逝世
29	這些事以後，耶和華的僕人、努恩的兒子約書亞死了，享壽一百一十歲。
30	以色列人把他葬在他產業的境內，就是在迦實山的北邊，以法蓮山區的亭納西拉。
31	約書亞在世的日子，以及約書亞過世以後，那些見過耶和華為以色列人所做一切事的長老還在世的日子，以色列人都侍奉耶和華。
32	以色列人把從埃及帶出來的約瑟的骸骨葬在示劍，就在從前雅各用一百可西塔向哈抹的兒子們買來的那塊野地上；哈抹是示劍的父親。這塊野地就成了約瑟子孫的產業。
33	亞倫的兒子以利亞撒也死了；以色列人把他葬在基比亞，就在他兒子非尼哈在以法蓮山區所得的產業上。
